P01-20240203-184045-1 | Open the fridge.
P01-20240203-184045-2 | Pick up the plastic container with chicken from the third shelf, right side, by sliding it from under another plastic container. A bag needs to be moved in the process as well. The chicken package is being pulled with the right hand and the container on the top pushed back with the left hand.
P01-20240203-184045-3 | Pick up a pot covered with a lid from its handle from the upper shelf of the fridge using the right hand.
P01-20240203-184045-4 | Close the fridge.
P01-20240203-184045-5 | Put the chicken in the plastic packaging on the countertop next to the hob.
P01-20240203-184045-6 | Test the chicken by pressing on the plastic cover at the top to see how much it has defrosted, using the left hand.
P01-20240203-184045-7 | put down the pot on the bottom right burner of the hub.
P01-20240203-184045-8 | Lift the lid off the pot to see the amount of rice inside, holding the pot's handle with the right hand.
P01-20240203-184045-9 | Cover the pot again.
P01-20240203-184045-10 | Remove the lid off the pot and place it on another burner.
P01-20240203-184045-11 | open the dishwasher's door.
P01-20240203-184045-12 | Rotate the pot on the burner by holding the handle from one side and rotating it from the other side.
P01-20240203-184045-13 | Using the plastic spoon distribute the rice inside the pot, breaking it into smaller pieces to spread it around the pot. This will help in making it heat evenly.
P01-20240203-184045-14 | Stir the rice inside the pot, turning it around using the plastic spoon.
P01-20240203-184045-15 | Hit the spoon against the rim of the pot to drop any of the rice that has stuck to the spoon doing stirring.
P01-20240203-184045-16 | Put the plastic spoon on the plate on the countertop next to the hob.
P01-20240203-184045-17 | Pick up the lid from the burner.
P01-20240203-184045-18 | Cover the pot using the lid.
P01-20240203-184045-19 | Pick up the heat diffuser from the counter top. The heat diffuser is under another pan, so lift the pan using the right hand and then pick up the diffuser with the left hand.
P01-20240203-184045-20 | Place the diffuser on one of the burners on the hub.
