P01-20240202-110250-1 | Open the upper cupboard by holding the handle of the cupboard with the left hand.
P01-20240202-110250-2 | Stretch the left hand inside the cupboard in the lower shelf to reach a mug at the far side of the cupboard.
P01-20240202-110250-3 | Pick up a mug from the lower shelf of the cupboard that is upside down using the left hand.
P01-20240202-110250-4 | Turn the mug in the left hand to face the camera so as to check how clean it is.
P01-20240202-110250-5 | Close the cupboard using the right hand.
P01-20240202-110250-6 | Using the left hand, flip the bottom part of the coffee machine so as to put the mug using the right hand in the right place under the nozzle of the coffee machine.
P01-20240202-110250-7 | Put the mug that is in the right hand under the nozzle of the coffee machine.
P01-20240202-110250-8 | Using the left hand, pick up the coffee capsule from the countertop to the left of the coffee machine.
P01-20240202-110250-9 | Press down the button to turn on the coffee machine using the right hand.
P01-20240202-110250-10 | Lift the handle of the coffee machine using the right hand so that to expose the gap where the coffee capsule should fit.
P01-20240202-110250-11 | Slide the coffee capsule that is in the left hand inside the gap of the coffee machine.
P01-20240202-110250-12 | Using the right hand, pull down the handle of the coffee machine so as to lock the coffee capsule inside.
P01-20240202-110250-13 | Open the fridge.
P01-20240202-110250-14 | Using the left hand, pick up the milk bottle using the handle, which is located in the lower shelf of the door of the fridge.
P01-20240202-110250-15 | Close the fridge.
P01-20240202-110250-16 | Slide the milk frother and its base on the counter to get it closer to where the person is standing.
P01-20240202-110250-17 | Open the milk bottle by holding it with the right hand, holding the lid with the left hand, and rotating the lid counterclockwise.
P01-20240202-110250-18 | While holding the milk bottle lid with the left hand, using the right hand tilt the milk bottle to pour milk from the bottle into the milk frother.
P01-20240202-110250-19 | Tilt the milk bottle up after the milk has been poured. Place the lid from the left hand on top of the milk bottle. Rotate clockwise to close the milk bottle.
P01-20240202-110250-20 | While the left hand is closing the milk bottle, the right hand presses the power button on the milk frother to start it on.
P01-20240202-110250-21 | Pick up the milk bottle from its handle using the left hand.
P01-20240202-110250-22 | Open the fridge.
P01-20240202-110250-23 | Put down the milk bottle inside the fridge in the lower shelf of the door using the left hand.
P01-20240202-110250-24 | Close the fridge.
P01-20240202-110250-25 | Using the left hand press the button of the long coffee on the coffee machine.
P01-20240202-110250-26 | Open the top drawer using the left hand.
P01-20240202-110250-27 | Pick up the scissors from the drawer using the right hand.
P01-20240202-110250-28 | Using the left hand, remove the plastic cover of the scissors. This action occurs at the periphery, quite off-screen.
P01-20240202-110250-29 | Hold the mesh containing oranges using the left hand to free the space to cut it open. Using the right hand, open the scissors and cut the mesh to open it.
P01-20240202-110250-30 | Using the left hand, pick up one orange from the mesh and place it to the left on the counter.
P01-20240202-110250-31 | Pick up a second orange from the mesh and place it to the left on the counter.
P01-20240202-110250-32 | Pick up a third orange from inside the mesh and place it on the left at the counter.
P01-20240202-110250-33 | Cover the scissors using the plastic cover. The left hand is holding the plastic cover, the right hand is holding the scissors and sliding the scissors inside the plastic cover.
P01-20240202-110250-34 | Open the drawer using the left hand.
P01-20240202-110250-35 | Place the scissors inside the drawer using the right hand.
P01-20240202-110250-36 | Slide the blue chopping board on the countertop using both hands.
