P01-20240203-184214-1 | Pick up a lid from the top right burner of the hob.
P01-20240203-184214-2 | Put the lid on the countertop next to the sink. This action is mostly off screen.
P01-20240203-184214-3 | Pick up the heat diffuser using the left hand from the bottom left burner of the hob.
P01-20240203-184214-4 | pick up the pot on the bottom right burner of the hob using the right hand holding it from its handle.
P01-20240203-184214-5 | Put the heat diffuser on the top right burner using the left hand.
P01-20240203-184214-6 | put the pot on top of the heat diffuser on the same burner. The heat diffuser better heats the rice inside the pot evenly.
P01-20240203-184214-7 | Turn on the hob by pressing and rotating the second dial on the hob.
P01-20240203-184214-8 | bending to check the fire has been lit properly just because I need to see it under the diffuser.
P01-20240203-184214-9 | Adjust the heat by turning the dial counterclockwise until the heat is low.
P01-20240203-184214-10 | open the dishwasher by pushing the already slightly open door further down.
P01-20240203-184214-11 | Open the lower drawer of the dishwasher by pulling it out.
P01-20240203-184214-12 | Pick up a white plastic bowl from the lower drawer of the dishwasher, which is turned upside down, turning it upright while picking it.
P01-20240203-184214-13 | Put the board on the counter top.
P01-20240203-184214-14 | pick up a knife from the countertop,
P01-20240203-184214-15 | Open the cover of the plastic container containing chicken by using the left hand to steady the container. The right hand contains the knife. The knife stabs the edge of the cover and then moves down to tear the plastic cover opening the container.
P01-20240203-184214-16 | Put down the knife on the countertop.
P01-20240203-184214-17 | tear the cover off the plastic container using the left hand by holding one edge of the torn cover from the top right and then peeling it off, moving the hand towards the bottom left of the container so the chicken is exposed and the cover is removed fully.
P01-20240203-184214-18 | pick up the uncovered container using both hands.
P01-20240203-184214-19 | Pick up the bowl from the countertop, this action is off screen.
P01-20240203-184214-21 | place the container on the countertop next to the sink closer to the edge of the countertop.
P01-20240203-184214-20 | Place the bowl on the countertop next to the sink.
P01-20240203-184214-22 | Attempt to pick up one of the chicken pieces but it's still fairly frozen so I can't pick it up.
P01-20240203-184214-23 | Pick up two connected chicken pieces from the container. Because the pieces are still fairly frozen, they're attached together. So the right hand holds onto one of these pieces, pulls away with quite good force, with the left hand steadying the container. So the left hand pushes, the right hand pulls, and two pieces get pulled up together, still attached to one another due to the freezing.
P01-20240203-184214-24 | Open the tap.
P01-20240203-184214-25 | Rinse the two chicken pieces still attached to one another using the water from the tap, using the fingers to massage the pieces to clean them.
P01-20240203-184214-26 | Separate the two chicken legs and thighs from one another by holding each with one hand and then twisting the two hands with force, effectively separating the two pieces from one another, while being washed under the tap.
P01-20240203-184214-27 | place the first chicken piece from the right hand into the white bowl.
P01-20240203-184214-28 | Place the second piece from the left hand into the white bowl.
P01-20240203-184214-29 | pick up the remaining three pieces still attached to one another from the tupperware using the right hand, holding one of the pieces from its end.
P01-20240203-184214-30 | attempt to separate the pieces by holding each with one hand and trying to pull them away from one another, but that does not succeed.
P01-20240203-184214-31 | Rinse the still connected pieces under the tap.
P01-20240203-184214-32 | Try to separate the pieces by holding both with both hands and trying to twist but this is unsuccessful. Due to the freezing, they are still attached to one another.
P01-20240203-184214-33 | Turn the chicken pieces upside down.
P01-20240203-184214-34 | Hold one of the legs of the chicken pieces and keep pulling out while pushing the rest of the chicken pieces with the other hand, putting significant force until the chicken piece actually breaks from the other pieces. In doing so, due to the impact of the force, the hand hits the nozzle of the tap and gets pushed away from its holder.
P01-20240203-184214-35 | Put the separated chicken piece into the bowl.
P01-20240203-184214-36 | Try to separate the remaining two pieces unsuccessfully.
P01-20240203-184214-37 | Close the tap.
P01-20240203-184214-38 | Close the other handle of the tap.
P01-20240203-184214-39 | put the chicken pieces into the bowl.
P01-20240203-184214-41 | Shake the bowl a little.
P01-20240203-184214-40 | Pick up the bowl using both hands.
P01-20240203-184214-42 | Put the bowl on the counter top.
P01-20240203-184214-43 | distribute the pieces a little into the bowl.
P01-20240203-184214-44 | Pick up the empty plastic container from the countertop.
P01-20240203-184214-45 | Flip the cover of the container as if to cover it.
P01-20240203-184214-46 | Open the bin.
P01-20240203-184214-47 | throw the plastic container in the bin.
P01-20240203-184214-48 | Close the bin's lid, this action is offscreen.
P01-20240203-184214-49 | Dry both hands using the towel on the handrail of the oven by holding the edge of the towel and drying both hands.
