P01-20240202-171220-106 | pick up a plastic bag containing sugar granules inside from the top shelf of the cupboard.
P01-20240202-171220-108 | Put down the plastic bag on top of the chopping board on the countertop next to the candy floss machine.
P01-20240202-171220-110 | Pick up the water filter jug from the countertop using the right hand, holding it from its handle.
P01-20240202-171220-111 | Pour water from the water filter jug into a glass sitting on the countertop.
P01-20240202-171220-112 | Put down the water filter jug.
P01-20240202-171220-113 | Pick up the glass filled with water from the countertop.
P01-20240202-171220-114 | Drink water from the glass.
P01-20240202-171220-116 | Put down the empty glass on the countertop.
P01-20240202-171220-120 | Pick up a plastic bag containing bagels from the countertop.
P01-20240202-171220-121 | Fold the plastic bag.
P01-20240202-171220-123 | Put the plastic bag containing donuts inside the bread box.
P01-20240202-171220-125 | Pick up the kettle from its base using the right hand and also at the same time press on the button to open its lid using the thumb of the right hand.
P01-20240202-171220-126 | Move the kettle from the right hand to the left hand.
P01-20240202-171220-127 | Position the kettle under the nozzle of the tap and open the tap by turning the right handle.
P01-20240202-171220-128 | Fill the kettle with water.
P01-20240202-171220-130 | Close the lid of the kettle.
P01-20240202-171220-131 | Put down the kettle back on its base.
P01-20240202-171220-132 | Switch on the kettle by pressing the button at the bottom of the base using the left hand.
P01-20240202-171220-136 | Pick up a black thermos flask from the second shelf of the cupboard.
P01-20240202-171220-137 | Open the cover of the flask by holding the flask using the left hand, holding the cover with the right hand, turning the cover counterclockwise to release it and then lifting it up.
P01-20240202-171220-142 | Pick up a small gold color container from the shelf to the right. The container has a red cover. This container contains loose tea.
P01-20240202-171220-143 | Open the container by holding it with the left hand and then pulling its cover with the right hand.
P01-20240202-171220-144 | pour the content of the container, which is the loose tea, from the container into the thermo flask by flipping the container upside down and then hitting on its back to ensure all the tea, loose tea, has been emptied.
P01-20240202-171220-158 | pick up the kettle from its base.
P01-20240202-171220-159 | Pour the hot water from the kettle into the thermo flask.
P01-20240202-171220-161 | Hold the thermoflask using the left hand.
P01-20240202-171220-163 | Close the thermo flask by holding it with the left hand, placing and rotating the second lid using the right hand, clockwise, until it's secured.
P01-20240202-171220-165 | Pick up the plastic bag, contain the candyfloss sugar from the countertop.
P01-20240202-171220-166 | Open the tie in the bag by holding both sides with both hands and pulling it away until the tie is unknoted.
P01-20240202-171220-167 | Scoop sugar from the bag using the scoop spoon that is inside the bag.
P01-20240202-171220-170 | Scoop more from the candyfloss sugar inside the bag using the scoop spoon.
P01-20240202-171220-171 | pour the candy floss sugar from the scoop spoon into the center of the disk of the candy floss machine carefully.
P01-20240202-171220-172 | Shake the scoop spoon on top of the disk to ensure any remaining loose sugar falls off.
P01-20240202-171220-173 | Switch on the candy floss machine by pressing its button using the left hand.
P01-20240202-171220-174 | Open the plastic bag.
P01-20240202-171220-175 | Throw the scoop spoon into the plastic bag.
P01-20240202-171220-176 | Close the plastic bag by tying the knot again, holding both sides with both hands and then establishing a knot.
P01-20240202-171220-179 | Put the plastic bag on the top shelf of the cupboard using the right hand.
P01-20240202-171220-181 | Pick up the wooden stick from the counter top, holding it from one of its ends.
P01-20240202-171220-188 | Position the wooden stick on top of the candy floss machine, moving it across the disk in the center of the machine to start gathering the candy floss.
P01-20240202-171220-189 | Roll and move the wooden stick on top of the candy floss machine to gather the candy floss. The stick is being rolled or rotated clockwise using both hands and is moved across the bowl of the candy floss machine.
P01-20240202-171220-190 | Switch off the candy floss machine by pressing the button to its side using the right hand.
P01-20240202-171220-191 | Pull a strand of candy floss from the candy floss pile that's gathered on top of the wooden stick, using the right hand. The candy floss is being held from the wooden stick using the left hand and a strand of candy floss is being pulled with the right hand.
P01-20240202-171220-192 | Eat the candy floss!
