P01-20240203-123350-1 | Lift the plate that's covering the bowl of yeast to check the progress of the yeast fermentation.
P01-20240203-123350-10 | Pick up the bowl of flour from the countertop.
P01-20240203-123350-101 | Insert the bowl covered with towels inside the oven, sliding it in. Notice that the oven is actually switched off. This is just to leave the dough in a relatively warm place during proofing.
P01-20240203-123350-109 | Pick up a mesh containing two onions from a shelf under the countertop using the right hand.
P01-20240203-123350-11 | Move the can of yeast on the countertop.
P01-20240203-123350-113 | Take one onion out of the mesh of onions. First hold the mesh to drop the onion but the opening of the mesh isn't at the end. Then place the mesh on the countertop and slide one onion out of the opening.
P01-20240203-123350-114 | Put the onion on the chopping board.
P01-20240203-123350-115 | take the other onion out of the mesh, holding the end of the mesh with the left hand, allowing the other onion to slide into the opening of the mesh and out of the mesh.
P01-20240203-123350-117 | Put the second onion on the chopping board.
P01-20240203-123350-12 | Put down the bowl of flour on the countertop.
P01-20240203-123350-122 | Chop one end of the onion using the knife, holding the onion with the left hand and moving the knife in a sawing-like fashion to get rid of one end.
P01-20240203-123350-123 | Turn the onion 180 degrees using the left hand in order to chop the other end.
P01-20240203-123350-124 | Chop the other end of the onion using the knife in a sawing-like motion.
P01-20240203-123350-125 | Rotate the onion again around 90 degrees, placing it on one of its ends on the chopping board. This makes it more stable for further cutting.
P01-20240203-123350-126 | Hold one end of the onion, cut the onion in half using the knife, by pushing the knife down inside the onion. The force is needed as the onion seems to be hard, and the action is repeated twice to cut the onion into halves fully. The left hand is holding the onion tight against the chopping board to keep it steady as the force is being applied.
P01-20240203-123350-127 | separate the two halves using both hands, keeping them next to each other. They are still attached by a little bit of the skin.
P01-20240203-123350-130 | Place the second onion on the chopping board, holding it with the left hand.
P01-20240203-123350-131 | Chop one end of the second onion using the knife in a sawing-like fashion.
P01-20240203-123350-132 | Turn the onion 180 degrees to cut the other end.
P01-20240203-123350-133 | Chop the other end using the knife in a sawing-like fashion.
P01-20240203-123350-134 | Rotate the onion again around 90 degrees, placing one of its cut ends on the chopping board to steady it.
P01-20240203-123350-135 | Cut the onion in half in one go, holding the knife and pushing it through the full onion, dividing it fully into two halves. The sound of the knife hitting the chopping board signals the force applied during the cut.
P01-20240203-123350-14 | Using the spoon, create a small gap in the flour to pour liquids.
P01-20240203-123350-146 | pick up one half of the onion from the other chopping board.
P01-20240203-123350-147 | Peel the skin off the onion by holding the onion with the left hand, pinching one end of the peel with the right hand and then peeling it off, repeating the pinching and peeling multiple times until all this skin has been removed, allowing the peel to fall onto the chopping board.
P01-20240203-123350-148 | Put the peeled onion on the clean chopping board in preparing for it to be chopped.
P01-20240203-123350-149 | Pick up the second half of the onion so as to peel it.
P01-20240203-123350-15 | Pick up the olive oil bottle from the countertop.
P01-20240203-123350-150 | pinch and peel the other onion, holding the onion with the left hand, pinching and peeling with the right hand, allowing the peel to drop on the chopping board.
P01-20240203-123350-151 | Put down the peeled second half of the onion on the clean chopping board.
P01-20240203-123350-153 | Pick up a plastic packet of minced meat from the second shelf of the fridge on the right hand side out of a pile of two packets. Pick up the top packet in the pile
P01-20240203-123350-154 | Hold the packet with both hands, test how much has the mincemeat defrosted.
P01-20240203-123350-155 | Pick up the second packet of minced meat from the second shelf of the fridge.
P01-20240203-123350-156 | Return the first packet that's being held with the left hand back into the fridge, having realized it has not defrosted fully. The second packet will be used instead.
P01-20240203-123350-158 | Put down the plastic package containing minced meat on the countertop next to the hob.
P01-20240203-123350-16 | Open the bottle by holding it with the right hand, holding the lid with the left hand and rotating the lid counterclockwise.
P01-20240203-123350-167 | Place the pot on the hob on the top right empty burner.
P01-20240203-123350-17 | Keep holding the lid with the left hand and pour oil from the bottle into the bowl that contains flour, pouring it in the center.
P01-20240203-123350-171 | Slice the half onion using the knife into thin slices vertically, moving the fingers while the knife progresses to get them away from the knife, while also holding the onion half with the left hand.
P01-20240203-123350-172 | Turn the sliced onion 90 degrees to start chopping it by slicing in the other direction.
P01-20240203-123350-173 | Hold firmly the already sliced onion, slice the onion horizontally, chopping it now into small pieces, The action is slightly messy as the onion is already sliced.
P01-20240203-123350-174 | Chop random pieces of the onion, making them smaller.
P01-20240203-123350-175 | Slide the onion pieces stuck on the knife using the left hand.
P01-20240203-123350-18 | Close the bottle of oil.
P01-20240203-123350-180 | Pour oil from the bottle onto the pan by tilting the bottle, holding it with the right hand.
P01-20240203-123350-181 | Tilt the bottle up to stop pouring, having poured enough oil into the pan.
P01-20240203-123350-183 | switch on the hob by pressing and holding the dial on the hob then turning it clockwise.
P01-20240203-123350-19 | Put down the bottle of oil.
P01-20240203-123350-2 | Turn the plate upright and place it on the countertop next to the bowl, having confirmed the yeast fermentation has completed. The yeast has grown and there are clear air bubbles.
P01-20240203-123350-20 | Pick up the bowl containing water and yeast from the countertop using both hands.
P01-20240203-123350-200 | Pick up a second lid from the shelf.
P01-20240203-123350-201 | Cover the pan to test the size and fitness of the lid to the pan, then lift it off.
P01-20240203-123350-206 | Using the knife, slide the chopped onions from the chopping board onto the pan, having positioned the chopping board on top of the pan, so any chopped onion that is slide from the board will fall into the pan, sliding it in parts multiple times until all the chopped onion is in the pan.
P01-20240203-123350-207 | Slide the knife on the rim of the pan so stuck onion to the knife will also fall into the pan, performing the action on both sides of the knife by flipping it.
P01-20240203-123350-209 | Pick up a clove of garlic from the shelf under the countertop. The garlic is off screen.
P01-20240203-123350-21 | Pour the content of the bowl into the bigger bowl with flour and oil, thus adding water, yeast and sugar into the mixture. These are the wet components of the dough.
P01-20240203-123350-211 | Peel the garlic using the knife. The knife cuts a piece of the peel allowing you to pinch and pull the peel of the garlic clove, the peel falls onto the chopping board.
P01-20240203-123350-215 | Stir the onion pieces inside the pan using the wooden spoon, moving the pieces using the garlic in multiple motions, all around the pan.
P01-20240203-123350-218 | Stir the onion pieces more, again by holding the wooden spoon that was resting on the pan and then moving it all around the pan, stirring the pieces.
P01-20240203-123350-22 | Move the bowl upside down to ensure all the water inside it drop.
P01-20240203-123350-220 | Then immediately pick the wooden spoon, realizing I need to stir more, and continue stirring the onion pieces inside the pan.
P01-20240203-123350-224 | Hold the wooden spoon again and stir the onion pieces in the pan, moving them around.
P01-20240203-123350-226 | Stir the onion pieces again in the pan using the wooden spoon moving them around.
P01-20240203-123350-23 | Put down the empty bowl on the countertop.
P01-20240203-123350-24 | Using the spoon, mix the dry components, flour, and the wet components, water and oil.
P01-20240203-123350-248 | stir the onion pieces in the pan. The onion is wilting, The motions of staring are quick.
P01-20240203-123350-25 | Remove the part of the mixture that is stuck on the spoon using the fingers by sliding it. Hold two fingers against the spoon. Pass them through the surface of the spoon to remove the mixture stuck on the spoon.
P01-20240203-123350-255 | Pick up the garlic presser from the second drawer using the right hand.
P01-20240203-123350-258 | Open the garlic presser by pulling its two parts exposing the compartment where the garlic clove can be inserted.
P01-20240203-123350-259 | Insert the garlic clove into the compartment inside the garlic presser, holding the presser with the left hand and inserting the garlic clove with the right hand.
P01-20240203-123350-260 | Close the garlic presser by pulling back the second half, pressing the clove inside the compartment.
P01-20240203-123350-261 | Press the garlic clove usnig the garlic presser, holding the two handles of the presser using both hands and pushing them together to press the garlic, having positioned the garlic presser on top of the pan so that any pressed garlic can fall into the pan.
P01-20240203-123350-263 | Use the garlic spoon to slide any garlic that is attached to the garlic presser but had been pressed just outside the pores into the pan, holding the spoon and sliding the garlic into the pan.
P01-20240203-123350-266 | Using the finger, slide back any garlic that had escaped from the compartment, back inside the compartment of the garlic.
P01-20240203-123350-269 | Press the remaining garlic using the left hand and pressing the two handles together and slide the pressed garlic using the wooden spoon into the pan at the same time.
P01-20240203-123350-27 | Continue mixing the mixture by hand, trying to mix all the ingredients together in a homogeneous manner.
P01-20240203-123350-270 | Mix the pressed garlic with the onion inside the pan using the wooden spoon, stirring all the components in all directions.
P01-20240203-123350-273 | Continue stirring the content of the pan of garlic and onion using the wooden spoon, moving the pieces in all directions.
P01-20240203-123350-277 | Open the plastic package containing minced meat using the knife, holding the package with the left hand to steady it, then stabbing one end of the package with the knife that's being held with the right hand, and sliding the knife across the edge of the packet to open it.
P01-20240203-123350-279 | Pull away the cover of the plastic package containing minced meat. Holding the package with the right hand to steady it and pulling away the cut cover using the left hand, exposing the minced meat.
P01-20240203-123350-28 | Pick up the water filter jug from the countertop using the left hand.
P01-20240203-123350-280 | Pick up a handful of minced meat from the package using the right hand, steadying the package with the left hand and holding the handful with the right hand.
P01-20240203-123350-281 | On top of the pan, tear apart the handful of minced meat using both hands to divide the minced meat into smaller pieces.
P01-20240203-123350-282 | drop the torn minced meat into the pan.
