P01-20240203-135502-1 | Open the food processor by holding the lid and rotating it counterclockwise and lifting it off.
P01-20240203-135502-10 | shake both the blade and the center piece on top of the bowl to drop any biscuits that stuck to it.
P01-20240203-135502-100 | unfold more of the packaging of the butter using both hands.
P01-20240203-135502-104 | Cut the butter mostly in half using the knife in one long cut.
P01-20240203-135502-105 | Pick up the butter with the packaging using the left hand.
P01-20240203-135502-106 | unwrap more of the packaging around the butter exposing the cut half.
P01-20240203-135502-107 | Using the knife, push the cut half of the unsalted butter away from the packaging and allow it to fall on the pot that is on the scale.
P01-20240203-135502-108 | Put down the knife on the countertop next to the scale.
P01-20240203-135502-109 | Wrap the packaging of the butter around the remaining butter, crumbling it using both hands.
P01-20240203-135502-11 | Hit the two pieces against one another, again, to drop any biscuits that are stuck.
P01-20240203-135502-110 | Open the fridge.
P01-20240203-135502-111 | Put the butter on the lower shelf of the fridge, the left side, using the left hand.
P01-20240203-135502-112 | Close the fridge.
P01-20240203-135502-113 | pick up the pot with the butter inside from the scale holding it from the handle.
P01-20240203-135502-114 | Put the pot on the bottom left burner on the hob.
P01-20240203-135502-115 | Turn on the bottom left burner by holding and pressing the dial on the hob using the right hand, then rotating it counterclockwise.
P01-20240203-135502-117 | pick up the can of cocoa from the countertop using the left hand.
P01-20240203-135502-118 | pick up the can of condensed milk from the countertop and turn it upside down.
P01-20240203-135502-119 | Put down the can of cocoa next to the scale.
P01-20240203-135502-12 | Place the blade on the countertop.
P01-20240203-135502-120 | Put down the can of condensed milk next to a scale.
P01-20240203-135502-122 | Pick up a spoon from the cutlery tray in the drawer.
P01-20240203-135502-125 | Pick up a small cup of glass from the second shelf using the left hand.
P01-20240203-135502-126 | Put the small cup on the scale to use it to measure the cocoa.
P01-20240203-135502-127 | Press the button on the scale to reset it to zero.
P01-20240203-135502-128 | Open the can of cocoa by holding the can with the left hand, holding and pinching the lid with the right hand and pulling it up.
P01-20240203-135502-129 | Put down the lid on the countertop, upside down, so any cocoa that is on the inside of the lid doesn't fall on the surface.
P01-20240203-135502-13 | place the center plastic piece also on the countertop.
P01-20240203-135502-130 | Pick up the can of cocoa from the countertop.
P01-20240203-135502-131 | Insert the spoon into the can of cocoa and scoop one spoonful of cocoa powder.
P01-20240203-135502-132 | Pour the cocoa powder into the cup on the scale to measure the cocoa.
P01-20240203-135502-133 | Scoop another spoon of cocoa powder from the can using the spoon.
P01-20240203-135502-134 | Pour the cocoa from the spoon into the glass to measure it.
P01-20240203-135502-135 | gather more cocoa from the bottom of the can and scoop one more spoon of cocoa powder from the can using the spoon.
P01-20240203-135502-136 | Pour the third spoon of cocoa powder into the glass to measure it.
P01-20240203-135502-137 | shake the spoon on top of the glass to drop any of the cocoa powder that stuck to it into the glass.
P01-20240203-135502-138 | Put down the can of cocoa on the countertop.
P01-20240203-135502-139 | Lift the lid from the countertop and turn it upright.
P01-20240203-135502-14 | unlock the food processor bowl by holding it with both hands and rotating it counterclockwise then lifting it up
P01-20240203-135502-140 | Put the lid on the can and press it using the palm of the hand, closing the can.
P01-20240203-135502-141 | Move the can of cocoa on the countertop away from the edge of the countertop as it is no longer needed.
P01-20240203-135502-142 | Put down the spoon on the countertop.
P01-20240203-135502-143 | pick up the pen from the notepad using the right hand.
P01-20240203-135502-144 | Write the ingredient cocoa powder along with the measurement from the scale.
P01-20240203-135502-145 | Check the melting butter on the pot.
P01-20240203-135502-147 | pick up the pen again.
P01-20240203-135502-148 | Put a question mark next to the butter as I forgot to write down the scale's measurements.
P01-20240203-135502-15 | Pick up the glass that is inside the bowl with biscuits.
P01-20240203-135502-155 | Pick up the can opener from the second blower having now found it.
P01-20240203-135502-16 | measure an additional cup of crushed biscuits by holding the glass with the left hand, holding the food processor bowl with the right hand, tilting the food processor bowl so that the crushed biscuits fall into the glass.
P01-20240203-135502-163 | Check the butter melting again. It hasn't melted fully yet.
P01-20240203-135502-164 | pick up the can of condensed milk from the countertop and place it on the countertop closer to the edge to be able to open it, moving a plastic piece away from the edge to empty space in the process, pushing it away with the can.
P01-20240203-135502-165 | Position the can opener vertically around the edge of the can. To open it, the can opener has two handles. Put the blade of it on the edge of the rim of the can. Press both handles.
