P01-20240204-121042-1 | open the fridge
P01-20240204-121042-10 | shake the hands on top of the sink to drop any excess liquid on the hands or the dates
P01-20240204-121042-101 | remove the pit
P01-20240204-121042-103 | put the pitted date into the second bowl
P01-20240204-121042-104 | pick up a date from the first bowl
P01-20240204-121042-105 | break the date into two halves
P01-20240204-121042-107 | remove the pit
P01-20240204-121042-109 | put the pitted date into the second bowl
P01-20240204-121042-11 | put the dates in the empty bowl
P01-20240204-121042-110 | pick up a date from the first bowl
P01-20240204-121042-111 | break the date into two halves
P01-20240204-121042-112 | remove the pit
P01-20240204-121042-117 | put the pitted date into the second bowl
P01-20240204-121042-118 | pick a date from the first bowl
P01-20240204-121042-119 | break the date into two halves
P01-20240204-121042-12 | pick another handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-120 | remove the pit
P01-20240204-121042-122 | put the pitted date into the second bowl
P01-20240204-121042-123 | pick a date from the first bowl
P01-20240204-121042-124 | break the date into two halves
P01-20240204-121042-126 | remove the pit
P01-20240204-121042-128 | put the pitted date into the second bowl
P01-20240204-121042-129 | pick up a date from the first bowl
P01-20240204-121042-13 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-130 | break the date into two halves
P01-20240204-121042-131 | remove the pit
P01-20240204-121042-133 | put the pitted date in the second bowl
P01-20240204-121042-134 | pick the date from the first bowl
P01-20240204-121042-135 | break the date into two halves
P01-20240204-121042-136 | remove the pit
P01-20240204-121042-138 | put the pitted date in the second bowl
P01-20240204-121042-139 | pick up the first bowl that has now been emptied from dates from the countertop it has some water out of the washing of the dates
P01-20240204-121042-14 | shake the hands on top of the sink to drop any excess liquid on the hands or the dates
P01-20240204-121042-140 | turn the bowl upside down on top of the sink so all the water inside it falls out
P01-20240204-121042-141 | put the empty bowl which had been filled with unpitted dates before on the countertop
P01-20240204-121042-142 | open the upper cupboard
P01-20240204-121042-143 | move one glass on the second shelf of the cupboard to access what's behind it by sliding it slightly to the left on the shelf
P01-20240204-121042-144 | pick up a glass from the second shelf using the right hand
P01-20240204-121042-145 | put the glass next to the bowl with pitted dates
P01-20240204-121042-147 | pick up the empty glass with the right hand and the bowl filled with dates in the left hand together from the countertop
P01-20240204-121042-148 | put the glass on the scale to weigh the dates
P01-20240204-121042-149 | press the button on the scale to start it on
P01-20240204-121042-15 | put the dates in the bowl
P01-20240204-121042-150 | put the bowl on the counter top next to the scale
P01-20240204-121042-151 | press the button on the right hand side of the scale to change the measurement to grams
P01-20240204-121042-152 | pick up a handful of pitted dates from the bowl
P01-20240204-121042-153 | throw the pitted dates one by one into the glass
P01-20240204-121042-154 | pick up one more date from the bowl and put it in the glass
P01-20240204-121042-155 | move two more dates from the bowl to the glass
P01-20240204-121042-156 | move a few more pitted dates from the bowl to the glass
P01-20240204-121042-157 | move a few more dates from the bowl to the glass and press them in to squeeze them into the glass
P01-20240204-121042-158 | move a few more dates from the bowl to the glass
P01-20240204-121042-159 | having filled the glass read the measurement
P01-20240204-121042-16 | pick a handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-160 | pick up the empty bowl from the countertop
P01-20240204-121042-161 | turn the bowl upside down on top of the sink to drop any liquid that's inside it
P01-20240204-121042-162 | pour all the dates that are inside the glass into the bowl realizing the glass is too small to measure by turning the glass upside down on top of the bowl
P01-20240204-121042-164 | return the glass to the scale
P01-20240204-121042-169 | move pitted dates from the bowl to the glass
P01-20240204-121042-17 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-170 | move a few more dates from the bowl to the glass
P01-20240204-121042-171 | move the remaining dates from the bowl to the glass
P01-20240204-121042-172 | pick up the bag of dates from the countertop i need more dates
P01-20240204-121042-173 | gather all the remaining dates from the plastic bag by holding the bag with the left hand inserting the right hand into the bag and gathering all the scattered dates in the bag
P01-20240204-121042-174 | open the tap
P01-20240204-121042-175 | wash the dates by using both hands holding the dates and scrubbing the dates against one another,under the water
P01-20240204-121042-176 | close that tap
P01-20240204-121042-177 | shake the hands containing the dates on top of the sink to drop an excess liquid some of the action is off-screen
P01-20240204-121042-178 | put two dates from the right hand into the empty bowl
P01-20240204-121042-179 | put the dates from the left hand into the empty bowl
P01-20240204-121042-180 | pick up the bowl from the countertop
P01-20240204-121042-181 | put the bowl next to the food waste bin as they need to be pitted
P01-20240204-121042-182 | pick up one date from the bowl
P01-20240204-121042-183 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-184 | remove the pit
P01-20240204-121042-186 | put the pitted date back into the same bowl
P01-20240204-121042-187 | pick up a non-pitted date
P01-20240204-121042-188 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-189 | remove the pit
P01-20240204-121042-19 | put the dates in the bowl
P01-20240204-121042-191 | put the pitted date back into the bowl
P01-20240204-121042-192 | pick up a non pitted date
P01-20240204-121042-193 | break the date into two halves
P01-20240204-121042-194 | remove the pit
P01-20240204-121042-196 | return the pitted date into the bowl
P01-20240204-121042-197 | pick up an unpitted date
P01-20240204-121042-198 | break the date into two halves by holding the date with both hands and pulling them away to break into two halves
P01-20240204-121042-199 | remove the pit
P01-20240204-121042-20 | pick up one date that has fallen on the floor by bending and picking it up with the right hand
P01-20240204-121042-201 | return the pitted date into the bowl
P01-20240204-121042-202 | pick up an unpitted date
P01-20240204-121042-203 | break the date into two halves
P01-20240204-121042-204 | remove the pit
P01-20240204-121042-206 | return the pitted date into the bowl
P01-20240204-121042-207 | carry the board now only containing pitted dates from the countertop
P01-20240204-121042-208 | pick up one pitted date from the bowl
P01-20240204-121042-209 | put the date into the glass,to measure it
P01-20240204-121042-21 | wash the date that has fallen on the floor using the water running from the tap with the right hand
P01-20240204-121042-211 | pick up the glass from the scale
P01-20240204-121042-212 | tilt the glass on top of the bowl putting all the dates back into the bowl to weigh them all again
P01-20240204-121042-213 | press the button on the scale to switch it on
P01-20240204-121042-214 | put the glass back on the scale
P01-20240204-121042-215 | move one date from the bowl to the glass
P01-20240204-121042-216 | move another date from the bowl to the glass
P01-20240204-121042-217 | move a handful of pitted dates from the bowl to the glass
P01-20240204-121042-218 | move a handful of dates from the bowl to the glass
P01-20240204-121042-219 | move a handful of dates from the bowl to the glass
P01-20240204-121042-22 | close the tap
P01-20240204-121042-220 | move one date from the bowl to the glass pushing it in
P01-20240204-121042-221 | move a few dates from the bowl to the glass
P01-20240204-121042-222 | move the final date from the bowl to the glass
P01-20240204-121042-23 | put the date in the bowl
P01-20240204-121042-231 | pick up the glass from the scale filled with pitted dates
P01-20240204-121042-232 | pour the pitted dates from the glass into the bowl because the glass is mostly full and this will be piled on top of the already available dates in the bowl the left hand is acting as a barrier or support so the dates don't fall off and pile in the plate
P01-20240204-121042-233 | pick up two dates that have fallen onto the countertop and put them on the bowl
P01-20240204-121042-236 | pick up the bowl with pitted dates from the countertop holding it with both hands
P01-20240204-121042-237 | put the bowl on the counter top next to the hob
P01-20240204-121042-24 | pick a handful of dates from the bag the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-244 | pick up a wooden spatula from the cutlery tray in the first drawer
P01-20240204-121042-246 | put the spatula on the countertop next to the hob
P01-20240204-121042-247 | switch on the bottom left burner on the hob by pressing and holding the dial and rotating it counterclockwise
P01-20240204-121042-248 | pick up the spatula from the countertop
