P02-20240209-194141-4 | Pick up the plate containing the apple cores using both hands.
P02-20240209-194141-8 | pull out the food bin using the left hand and open it
P02-20240209-194141-9 | Tip the apple cores from the saucer in the right hand into the food bin.
P02-20240209-194141-10 | Close the food bin lid using the left hand and push it back into the corner out of the way.
P02-20240209-194141-101 | Pick up the soaking frying pan using the left hand.
P02-20240209-194141-102 | Move the tap to rinse around the saucepan.
P02-20240209-194141-103 | Push the washing up pile away from the edge so that when the frying pan is emptied it won't go over the side.
P02-20240209-194141-104 | Move the tap out of the way so that it stops filling up the frying pan.
P02-20240209-194141-105 | Carefully pour the liquid from the frying pan down the side of the sink.
P02-20240209-194141-106 | remove a bit of food from the frying pan using the left hand
P02-20240209-194141-107 | place the frying pan back down on the hob that will be washed up later
P02-20240209-194141-111 | Open up the food bin using the left hand.
P02-20240209-194141-112 | Place the bit of food from the frying pan into the food bin using the left hand.
P02-20240209-194141-113 | Pick up the food bin using the left hand.
P02-20240209-194141-114 | Place the food bin onto the countertop using the left hand.
P02-20240209-194141-199 | open the lid of the food bin with the right hand holding it in the left hand
P02-20240209-194141-200 | Hold the food bin in both hands while searching for the handle.
P02-20240209-194141-201 | lift up the handle with the right hand
P02-20240209-194141-202 | Transfer the food bin into the left hand whilst keeping the sponge in the right hand.
P02-20240209-194141-203 | Wipe down the countertop with the sponge in the right hand, pushing the food into the food bin that is placed at the edge of the countertop.
P02-20240209-194141-204 | Clean and rinse the sponge into the hot soapy water.
P02-20240209-194141-205 | Wipe down the counter-stop sponge in the right hand whilst holding the food bin in the left hand at the edge of the countertop to push any excess food or dirt into it.
P02-20240209-194141-206 | Place the food bin on the countertop.
P02-20240209-194141-207 | Pull up the sleeve of the right arm using the left hand as it is fallen too low.
P02-20240209-194141-251 | pick up the open food bin by the handle with the left hand
P02-20240209-194141-252 | Wipe down the countertop using the sponge in the right hand of the food bin at the edge of the countertop to push any food or excess dirt into the food bin.
P02-20240209-194141-254 | Clean behind the cooker using the sponge in the right hand, pushing any food out so that it can be put in the food bin.
P02-20240209-194141-255 | Wipe down the countertop using the sponge in the right hand, holding the food bin at the edge of the countertop to push any food in.
P02-20240209-194141-257 | Wipe down the countertop using the sponge in the right hand, holding the food bin at the edge of the countertop to push any food in.
P02-20240209-194141-259 | Clean the countertop using the sponge in the right hand, pushing any food into the food bin that is being held next to the countertop.
P02-20240209-194141-260 | Lift up and place the food bin on top of the countertop.
P02-20240209-194141-262 | Pick up the food bin with the left hand using the handle.
P02-20240209-194141-265 | Wipe around the sink using the sponge in the right hand, holding the food bin next to the countertop in the left hand to push any food into it.
P02-20240209-194141-266 | Lift up the olive oil bottle to move it out of the way so that the space underneath it can be cleaned.
P02-20240209-194141-267 | Place the olive oil bottle into the back corner of the countertop.
P02-20240209-194141-268 | Lift up the pepper mill so that the space underneath it can be cleaned.
P02-20240209-194141-269 | Place the pepper mill into the corner of the countertop out of the way.
P02-20240209-194141-271 | Place the food bin underneath the countertop in the corner.
P02-20240209-194141-272 | push any food or into the food bin that's held underneath the countertop.
P02-20240209-194141-274 | lift up and place the food bin onto the countertop
P02-20240209-194141-281 | Wipe down the hob using the sponge in the right hand, making care to push all the food to one side of the hob so that it can be put in the food bin easily.
P02-20240209-194141-293 | push and scrape the food and dirt from the hob using the sponge in the right hand whilst placing the food bin against the countertop in the left hand so that this food can be pushed into it.
P02-20240209-194141-294 | Clean the hob and the hob protectors using the sponge in the right hand.
P02-20240209-194141-305 | Wipe the side and edge of the countertop to put any excess food into the food bin.
P02-20240209-194141-307 | Wipe down the surface to remove any more food and putting it into the food bin which is being held in the left hand against the countertop.
P02-20240209-194141-310 | Wipe down the countertop using the sponge in the right hand whilst holding the food bin next to the countertop to put any excess food into it.
P02-20240209-194141-312 | right down the top of the fridge whilst holding the food bin next to it to put any excess food into the food bin.
P02-20240209-194141-313 | Wipe down the top of the fridge using the sponge in the right hand whilst holding the food bin next to it to put any excess food into it.
