P02-20240211-111219-7 | Pick up the dirty bowl that was recently placed onto the countertop using the left hand.
P02-20240211-111219-8 | transfer the bowl from the left hand to the right hand
P02-20240211-111219-9 | tip out the bowl into the sink to remove any excess milk from it using the right hand and holding the spoon so it doesn't fall out of it
P02-20240211-111219-11 | Turn on the cold water tap using the left hand whilst holding the bowl below it in the right hand.
P02-20240211-111219-10 | Move the tap into the centre of the sink using the left hand so that the bowl can be filled more easily.
P02-20240211-111219-12 | Fill up the dirty bowl with the cold water so that the food doesn't get stuck to it and allows the bowl to soak.
P02-20240211-111219-13 | Turn off the tap using the left hand as the bowl is nearly full.
P02-20240211-111219-14 | Place the bowl down onto the countertop near the sink in the washing up pile with both hands to make sure it doesn't spill.
P02-20240211-111219-32 | Realise there is some old food or dirt on the bottom of the bowl.
P02-20240211-111219-33 | Try to scratch away the food or dirt to see if it's on the bottom of the bowl or inside the bowl using the right hand.
P02-20240211-111219-34 | realize that the food or dirt is on the inside of the bowl.
P02-20240211-111219-35 | Grab the roll of kitchen roll.
P02-20240211-111219-36 | Grab the kitchen roll holder using the right hand.
P02-20240211-111219-37 | pull off one roll of kitchen roll using the left hand whilst holding the kitchen roll holder in the right hand
P02-20240211-111219-38 | place the kitchen roll holder back down on the countertop next to the microwave
P02-20240211-111219-39 | clean the bottom of the bowl using the kitchen roll in the right hand whilst holding the bowl down on the left hand
P02-20240211-111219-40 | Flip the bowl over using both hands.
P02-20240211-111219-41 | Wipe the inside of the bowl using the kitchen roll and a finger to see if it's dirty.
P02-20240211-111219-42 | check the kitchen roll in the right hand and realize that the mixing bowl will need to be washed before using
P02-20240211-111219-43 | Wipe around the inside of the bowl to remove any oil or food from it to make it easier to clean using the kitchen roll in the right hand.
P02-20240211-111219-44 | Lift up the bin lid using the right hand.
P02-20240211-111219-45 | Place the kitchen roll into the bin.
P02-20240211-111219-46 | Transfer the large mixing bowl from the left hand to the right hand.
P02-20240211-111219-47 | Place the large mixing bowl on the windowsill above the sink.
P02-20240211-111219-91 | Open the kitchen cupboard above the kettle using the left hand.
P02-20240211-111219-92 | Grab the container of sugar from the kitchen cupboard using the left hand.
P02-20240211-111219-93 | Close the kitchen cupboard using the right hand.
P02-20240211-111219-94 | Place the container of sugar down onto the countertop using the left hand.
P02-20240211-111219-95 | Pick up the large mixing bowl in the right hand.
P02-20240211-111219-96 | Transfer the large mixing bowl from the right hand to the left hand.
P02-20240211-111219-97 | Pick up the tea towel in the right hand.
P02-20240211-111219-98 | dry the inside of the large mixing bowl using the right hand holding the tea towel whilst holding the large mixing bowl in the left hand this is important because the large mixing bowl needs to be fully dry so that the sugar doesn't get stuck to it
P02-20240211-111219-99 | Place the large mixing bowl down onto the countertop using the left hand.
P02-20240211-111219-100 | place the tea towel down on the countertop using the right hand
P02-20240211-111219-101 | Pick up the recipe book using the right hand and flipping it over so that the recipe can be seen.
P02-20240211-111219-109 | Pick up the bowl with the spoon and fill it with water to soak using both hands.
P02-20240211-111219-110 | Transfer the bowl from both hands into the right hand only.
P02-20240211-111219-111 | move the washing up bowl in the sink to the side using the left hand so that the water in the bowl in the right hand can be poured down the sink without it going into the washing up bowl
P02-20240211-111219-112 | lift up the washing up bowl on the right hand side of it so that it can overlap onto the sink using the left hand
P02-20240211-111219-113 | Pour down the contents of the bowl using the right hand, holding the spoon to make sure it doesn't fall, and pouring it so that it doesn't go into the washing up bowl.
P02-20240211-111219-114 | Transfer the bowl and spoon into the left hand.
P02-20240211-111219-115 | Grab the sponge in the washing up bowl using the right hand.
P02-20240211-111219-116 | Tip out the spoon in the bowl to soak at the bottom of the washing up bowl.
P02-20240211-111219-117 | wash the inside of the bowl using the sponge in the right hand holding the bowl in the left hand
P02-20240211-111219-118 | Rotate the bowl over using both hands and then holding it in the left hand.
P02-20240211-111219-119 | Wash the outside of the bowl using the sponge in the right hand, holding the bowl in the left hand.
P02-20240211-111219-120 | Rotate the bowl over using both hands.
P02-20240211-111219-121 | Wash the inside of the bowl once more using the sponge in the right hand to make sure that there's no food in it.
P02-20240211-111219-122 | squeeze out the sponge into the washing up bowl using the right hand to remove any excess water from it
P02-20240211-111219-123 | Place the sponge onto the side of the sink to free up the right hand.
P02-20240211-111219-124 | shake off the excess water from the right hand into the washing up bowl.
P02-20240211-111219-130 | Pick up the bowl next to the sink in the left hand and the sponge next to the sink in the right hand.
P02-20240211-111219-131 | Submerge the bowl into the water and clean the inside of the bowl using the sponge in the right hand, paying close attention to get rid of any food that has been stuck onto the bowl.
P02-20240211-111219-132 | Rotate the bowl over using both hands so that the backside can be cleaned.
P02-20240211-111219-133 | Wash the backside of the bowl using the sponge in the right hand holding the bowl in the left hand.
P02-20240211-111219-134 | rotate the bowl over to clean the inside once more
P02-20240211-111219-135 | Wash and clean the inside of the bowl, again paying attention to make sure that no food that was stuck on to the bowl is still present.
P02-20240211-111219-136 | Let go of the sponge so that it rests in the bowl, using the right hand.
P02-20240211-111219-137 | let go of the sponge in the right hand into the bowl
P02-20240211-111219-138 | Submerge both the sponge and the bowl using both hands so that the bowl which has some food stuck onto it may soak a bit.
P02-20240211-111219-139 | Scrub hard the inside of the bowl to remove the stuck food from it, using the sponge in the right hand, holding the bowl down under the water in the left hand.
P02-20240211-111219-140 | Lift up the bowl from the water and tip out the water inside.
P02-20240211-111219-141 | Squeeze the sponge in the right hand to remove any excess water from it.
P02-20240211-111219-142 | Wipe around the inside of the bowl once more using the sponge in the right hand.
P02-20240211-111219-143 | rinse the sponge in the water using the right hand
P02-20240211-111219-144 | Wipe down the inside of the bowl using a sponge in the right hand.
P02-20240211-111219-145 | Turn the bowl over using both hands to clean the back.
P02-20240211-111219-146 | Wipe around the outside portion of the bowl using the sponge in the right hand.
P02-20240211-111219-147 | Squeeze the sponge in the right hand.
P02-20240211-111219-148 | Shake the sponge in the right hand to remove any excess water from it.
P02-20240211-111219-149 | Place the sponge down on the right hand side of the sink on the draining portion.
P02-20240211-111219-150 | Transfer the bowl from the left hand to the right hand.
P02-20240211-111219-151 | Place the bowl where there is space on the draining portion of the sink using the right hand.
