P02-20240211-115653-3 | Pick up the large plastic spoon using the right hand from the side.
P02-20240211-115653-4 | Stir through the raspberry and lemon curd mixture using a spoon to make sure that No curds are forming in the raspberry and lemon curd and it is cooking evenly. Do this whilst holding the large plastic mixing bowl with the left hand to keep it steady.
P02-20240211-115653-5 | Tap the large plastic spoon against the side of the large mixing bowl using the right hand to remove any curd mixture from it.
P02-20240211-115653-6 | Place the large plastic spoon down onto the countertop using the right hand.
P02-20240211-115653-7 | try and lift off the large mixing bowl from the large saucepan using both hands but then realize it's gotten stuck due to the temperature being turned down
P02-20240211-115653-8 | Turn up the temperature of the gas hob using the right hand to twist the dial so that the large plastic mixing bowl can be lifted up.
P02-20240211-115653-9 | Pull up and remove the large mixing bowl using both hands from the top of the large saucepan.
P02-20240211-115653-10 | Check the water to make sure that it's not bubbling too vigorously within the large saucepan.
P02-20240211-115653-11 | Place the large mixing bowl down on top of the large saucepan using both hands quickly so as not to burn themselves.
P02-20240211-115653-20 | open up the kitchen cupboard above the kettle using the left hand
P02-20240211-115653-21 | Reach in and grab the Tupperware box full of flour using the left hand.
P02-20240211-115653-22 | Close the kitchen cupboard using the right hand.
P02-20240211-115653-23 | Place the Tupperware full of flour down onto the countertop using the left hand.
P02-20240211-115653-24 | Open the fridge using the left hand.
P02-20240211-115653-25 | Grab one of the packets of puff pastry using the left hand that we used for the cheese straws recipe.
P02-20240211-115653-26 | throw the puff pastry onto the tank.
P02-20240211-115653-27 | Throw the puff pastry onto the countertop using the left hand.
P02-20240211-115653-28 | Place the block of cheddar cheese down onto the countertop using the left hand.
P02-20240211-115653-29 | Move the loaf of bread in the fridge using the left hand to try and find the other cheese packet.
P02-20240211-115653-30 | Move the apple Danish and then the kebab wraps using the left hand to try and find the other packet of cheese.
P02-20240211-115653-31 | Pick up and grab the packet of shredded cheese using the left hand.
P02-20240211-115653-32 | Close the fridge door using the right hand.
P02-20240211-115653-33 | Pass the packet of shredded cheese from the left hand to the right hand.
P02-20240211-115653-34 | pick up the puff pastry using the left hand
P02-20240211-115653-35 | Place the packet of cheese down onto the countertop using the right hand.
P02-20240211-115653-36 | Pass the puff pastry packet from the left hand to the right hand.
P02-20240211-115653-37 | Using both hands, pull apart the plastic wrapper of the puff pastry, making sure it doesn't rip down the sides too much.
P02-20240211-115653-38 | Grab the puff pastry packet using the right hand whilst opening the packet further with the left hand.
P02-20240211-115653-39 | Reach in and grab the puff pastry and pull it out from the packet using the left hand.
P02-20240211-115653-41 | Place the empty puff pastry packet down onto the countertop.
P02-20240211-115653-42 | Peel apart the puff pastry roll using the left hand whilst rotating the roll itself with the right hand to fully unfurl it.
P02-20240211-115653-40 | Grab the puff pastry roll using both hands.
P02-20240211-115653-43 | Place the almost fully unrolled puff pastry down onto the countertop using both hands so that it's easier to unroll it.
P02-20240211-115653-44 | push down the puff pastry to make sure that it is flat on the countertop
P02-20240211-115653-45 | Move the block of cheese out of the way using the left hand.
P02-20240211-115653-46 | Pick up the packet of shredded cheese using the right hand.
P02-20240211-115653-47 | turn over the packet of cheese using the left hand
P02-20240211-115653-48 | Shake the packet of shredded cheese to make sure that the cheese is not at the top of the bag and won't spill when opening.
P02-20240211-115653-49 | Check the opening of the bag of shredded cheese to see if it can be torn open or require scissors.
P02-20240211-115653-50 | Place the bag of shredded cheese down onto the countertop using the right hand.
P02-20240211-115653-51 | Open the cutlery drawer using the left hand.
P02-20240211-115653-52 | Grab a pair of scissors from the cutlery drawer using the right hand.
P02-20240211-115653-53 | Close the cutlery drawer using the left hand.
P02-20240211-115653-54 | Check the lemon curd mixture to make sure that no curds are forming.
P02-20240211-115653-55 | Pick up the large plastic spoon using the right hand.
P02-20240211-115653-56 | Stir through the raspberry and lemon curd mixture vigorously using the large plastic spoon in the right hand to make sure that no curds are forming and the mixture is cooking evenly.
P02-20240211-115653-57 | Scrape down the sides of the large plastic bowl in the Bain-Marie using the large plastic spoon in the right hand.
P02-20240211-115653-58 | stir through the raspberry and lemon curd mixture to dissolve the crystals that were scraped off the side of the large plastic mixing bowl using the large plastic spoon.
P02-20240211-115653-59 | Tap the large plastic spoon against the large mixing bowl using the right hand to remove the raspberry and lemon curd mixture from the plastic spoon.
P02-20240211-115653-60 | Place the large plastic spoon down onto the countertop using the right hand.
P02-20240211-115653-61 | Transfer the scissors from the left hand to the right hand in preparation to open up the bag of cheese.
P02-20240211-115653-62 | Pick up the bag of shredded cheese using the left hand from the countertop.
