P01-20240202-161354-1 | Switch the light on.
P01-20240202-161354-2 | Pick up the mug from the countertop using the left hand by holding the handle.
P01-20240202-161354-3 | Pick up the plate from the countertop using the right hand and hand it over to the left hand.
P01-20240202-161354-4 | Pick up the second mug from the countertop using the right hand.
P01-20240202-161354-5 | Put down the second mug to the right of the sink using the right hand.
P01-20240202-161354-6 | Hold the plate using the right hand then put down both the mug in the left hand and the plate in the right hand to the right of the sink.
P01-20240202-161354-7 | Pick up the glass from the countertop using the left hand.
P01-20240202-161354-8 | Put down the glass to the right of the sink using the right hand.
P01-20240202-161354-9 | Pick up the food processing bowl from the drainer using the right hand.
P01-20240202-161354-10 | Shake the food processing bowl and turn it to point upwards using the right hand.
P01-20240202-161354-11 | Using both hands, place the food processing bowl on the food processing machine and rotate it clockwise to lock it in place.
P01-20240202-161354-12 | Pick up the food processing lid from the shelf using the right hand.
P01-20240202-161354-13 | Using both hands, put the food processing lid on the food processing bowl and rotate it clockwise to lock it in.
P01-20240202-161354-14 | Pick up the food processing bowl from the countertop using both hands and place it on the shelf.
P01-20240202-161354-15 | Unplug the food processing bowl from the socket using the left hand.
P01-20240202-161354-16 | Place the socket on the lid of the food processing bowl by moving the wire around the top to support it.
P01-20240202-161354-17 | Pick up the kettle from its base using the right hand and at the same time use the right thumb to open the kettle's lid by pressing the button at its top.
P01-20240202-161354-18 | Move the kettle with its lid open from the right hand to the left hand.
P01-20240202-161354-19 | Place the kettle under the nozzle of the tap and open the tap using the right handle with the right hand.
P01-20240202-161354-20 | Fill the kettle with water from the tap.
P01-20240202-161354-21 | Close the tap using the handle with the right hand.
P01-20240202-161354-22 | Close the lid of the kettle using the right hand by flipping it back in place.
P01-20240202-161354-23 | Place the kettle back on its base using the left hand.
P01-20240202-161354-24 | Turn on the kettle by pressing the button close to its base using the left hand, checking that the light comes on.
P01-20240202-161354-25 | Hold the right hand glove with the left hand so as to slide the right hand inside it and wear it.
P01-20240202-161354-26 | Slide the right hand inside the right glove to wear it.
P01-20240202-161354-27 | Hold the left hand glove with the right hand so as to slide the left hand inside it and wear it.
P01-20240202-161354-28 | Slide the left hand inside the left glove to wear it.
P01-20240202-161354-29 | Pick up the glass from the right of the sink using the right hand from its rim.
P01-20240202-161354-30 | Pass the glass from the right hand to the left hand, holding it from its base.
