P01-20240203-152956-1 | Pick up the oven glove from the countertop using the right hand.
P01-20240203-152956-2 | Wear the oven glove. This action is mostly off screen.
P01-20240203-152956-3 | Open the oven's door using the left hand, holding the handrail and pulling out.
P01-20240203-152956-4 | Flap the air using the right hand to move the steam coming out of the oven, off the eyesight.
P01-20240203-152956-5 | Pick up the tray from the upper shelf of the oven using the right hand holding the oven glove by sliding it out.
P01-20240203-152956-6 | Close the oven's door.
P01-20240203-152956-7 | Put the tray on the hob.
P01-20240203-152956-8 | Take off the oven's glove.
P01-20240203-152956-9 | Throw the oven's glove on the countertop using the right hand.
P01-20240203-152956-10 | Pick up the plastic spoon from the countertop. This action is off-screen.
P01-20240203-152956-11 | Pick up one meat pie from the tray using the plastic spoon by sliding the spoon under the pie and pulling it up, also using the left hand to break the pie from its neighboring pie.
P01-20240203-152956-12 | put the pie on the plate next to the hob, piling it on top of other pies.
P01-20240203-152956-13 | Try to pick another pie from the tray, but the pies are stuck to the base of the tray.
P01-20240203-152956-14 | Pick up a fork from the countertop.
P01-20240203-152956-15 | Pick another pie from the tray using both the plastic spoon and the fork, placing both on either side of the pie, sliding them under to pull it out of the tray as it's slightly stuck to the base of the tray, also using the plastic spoon to break the pie from the neighboring pies.
P01-20240203-152956-16 | put the pie on the plate, piling it on top of other pies.
P01-20240203-152956-17 | Put down the plastic spoon.
P01-20240203-152956-18 | put down the fork.
P01-20240203-152956-19 | Open the upper cupboard.
P01-20240203-152956-20 | pick up a plate, that's the top of the pile of plates, on the lower shelf of the cupboard.
P01-20240203-152956-21 | Close the cupboard.
P01-20240203-152956-22 | pick up the plastic spoon from the countertop.
P01-20240203-152956-23 | Move the plate filled with pies to the right of the countertop so that to empty space next to the hob to place the other plate.
P01-20240203-152956-24 | Pick up two pies from the tray together using the plastic spoon and supporting these with the left hand. As the pies are attached together and difficult to break, pick up both of them together with the spoon sliding the spoon under the pies and supporting them with the left hand so they don't fall.
P01-20240203-152956-25 | place both pies on the plate next to the hob.
P01-20240203-152956-26 | Try to slide the spoon under more pies, but they are still stuck to the tray and the tray is moving in the process.
P01-20240203-152956-27 | successfully separate two pies from the other pies moving them around the tray.
P01-20240203-152956-28 | Pick up two pies from the tray using the plastic spoon and supporting them with the left hand. These two pies are still attached to one another.
P01-20240203-152956-29 | pick up the plate from the countertop, positioning it next to the tray to slide the pies onto it. This attempt is not successful. The pies still fall back into the tray.
P01-20240203-152956-30 | Separate the two pies from one another by placing the spoon on the edge between them and pushing one away.
P01-20240203-152956-31 | pick up one pie from the tray using the plastic spoon.
P01-20240203-152956-32 | place the pie on the tray piling it on top of the other pies.
P01-20240203-152956-33 | Pick up another pie from the tray using the plastic spoon.
P01-20240203-152956-34 | place the pie on the plate.
P01-20240203-152956-35 | Try to pick up another pie from the tray, but it's attached to the other pie.
P01-20240203-152956-36 | Separate the two pies from one another by placing the spoon on the edge between the two and pushing, breaking them apart.
P01-20240203-152956-37 | Pick up one pie from the tray using the plastic spoon.
P01-20240203-152956-38 | Push the pies already on the plate slightly to the left emptying space. The pies are pushed using the spoon which has the new pie.
P01-20240203-152956-39 | Place the pie on the plate next to the pile of pies.
P01-20240203-152956-40 | pick up the last pie from the tray using the plastic spoon.
P01-20240203-152956-41 | Place the pie on the plate, piling it on top of another pie.
P01-20240203-152956-42 | Put down the plate on the counter top next to the hob.
P01-20240203-152956-43 | Pick up the oven glove from the countertop emptying space.
P01-20240203-152956-44 | Put the plastic spoon on the countertop.
P01-20240203-152956-45 | Wear the oven glove using the right hand.
P01-20240203-152956-46 | Pick up the tray from the hob using the oven glove. The tray is still very hot and it just came out of the oven.
P01-20240203-152956-47 | put the tray in the sink, piling it on top of the other tray.
P01-20240203-152956-48 | Take off the oven glove, this action is off screen.
P01-20240203-152956-49 | throw the oven glove on the countertop.
P01-20240203-152956-50 | Open the second drawer.
P01-20240203-152956-51 | pick up the box of foil wrap from the second drawer.
P01-20240203-152956-52 | open the box of foil wrap by unfolding its cover.
P01-20240203-152956-53 | Pick up the foil wrap from the box, placing the box on the countertop.
P01-20240203-152956-54 | Unroll foil from the foil wrap using the right hand, pulling it upwards.
P01-20240203-152956-55 | tear the unrolled foil by using both hands on the edge of the unrolled foil and tearing it apart.
P01-20240203-152956-56 | put the foil paper that has been torn from the roll on top of the plate filled with meat pies, the first plate that has been filled, in order to cover it and protect the heat.
P01-20240203-152956-57 | Fold the foil around the plate on both sides, also picking it up using both hands.
P01-20240203-152956-58 | put the plate wrapped with foil on another countertop, folding its sides.
P01-20240203-152956-59 | unroll more of the foil paper by picking up the foil roll with the right hand and unrolling with the left hand.
P01-20240203-152956-60 | Tear the additional unrolled foil paper by holding the edge with the left hand and tearing away. The foil roll is being held with the right hand.
P01-20240203-152956-61 | Place the foil roll on the countertop.
P01-20240203-152956-62 | Put the foil unrolled on the plate.
P01-20240203-152956-63 | fold the edges of the foil, picking up the plate with both hands in order to fold the edges under it.
P01-20240203-152956-64 | Tuck all the edges of the foil around the rim of the plate, using the right hand while holding the plate with the left hand from under the plate.
P01-20240203-152956-65 | Put down the plate on the countertop, now fully covered with foil with all edges tucked in.
