P01-20240204-120411-1 | Pick up the mug with the right hand and the empty bowl with a spoon inside with the left hand.
P01-20240204-120411-2 | Put down the bowl with the spoon inside with the left hand and the mug with the right hand to the right side of the sink so they are ready to be washed.
P01-20240204-120411-3 | Push the button with the middle finger of the right hand so that to open the panel of the boiler.
P01-20240204-120411-4 | Hold the panel's door with the left hand.
P01-20240204-120411-5 | Press the button on the panel of the boiler so as to switch the boiler on.
P01-20240204-120411-6 | Close the panel with the left hand.
P01-20240204-120411-7 | Pick up the hand blender's piece from the drainer to put it away.
P01-20240204-120411-8 | Put the hand blender's piece inside the wooden box of the hand blender so as to store it away.
P01-20240204-120411-9 | Remove the hand blender piece from the box as it doesn't fit well inside.
P01-20240204-120411-10 | Remove the fuse extension from the inside of the box so as to empty more space.
P01-20240204-120411-11 | Move the hand blender piece from the right hand to the left hand so as to hold it.
P01-20240204-120411-12 | Move the other white piece inside the box from the left to the right to put it in its right place. This will empty the box's right side so that the other hand blender piece can fit in.
P01-20240204-120411-13 | turn the white blender's piece upside down so as it fits in the right place inside the box.
P01-20240204-120411-14 | Place the white part of the hand blender in the left side of the box where it fits.
P01-20240204-120411-15 | Insert the hand blender piece and the fuse which are in the left hand together inside the box on the right hand side.
P01-20240204-120411-16 | Push the various parts of the wire with both hands into the box so that they fit in.
P01-20240204-120411-17 | Close the left and right flaps of the box.
P01-20240204-120411-18 | Close the cover of the box with the right hand.
P01-20240204-120411-19 | Fiddle with the cover so that it fits in place.
P01-20240204-120411-20 | Secure the box cover to close it fully with the right hand side.
P01-20240204-120411-21 | Lift the box with the hand blender stored inside it so as to put it away with the right hand.
P01-20240204-120411-22 | Open the sliding cupboard with the left hand.
P01-20240204-120411-23 | Check around the inside of the cupboard to find space so as to store the box.
P01-20240204-120411-24 | Try to put the cardboard box with the hand blender inside, which is being held with the right hand, inside the upper shelf of the cupboard, only to realize there isn't enough space.
P01-20240204-120411-25 | Remove the cardboard box with the right hand from where it was inside the cupboard as no space is available.
P01-20240204-120411-26 | Using the left hand, move the components inside the cupboard so as to free space. The cardboard box is still being held with the right hand side in an attempt to store it away.
P01-20240204-120411-27 | Place the card box with the hand blender from the right hand inside the upper shelf of the cupboard.
P01-20240204-120411-28 | Close the door of the sliding cupboard with the left hand, then secure it in place with the right hand.
P01-20240204-120411-29 | Pick up the plastic cover of the peeler from the countertop with the left hand and pick up the peeler from the drainer with the right hand.
P01-20240204-120411-30 | Try to attach the plastic cover of the peeler, which is in the left hand, to the peeler in the right hand. But this doesn't work well.
P01-20240204-120411-31 | Catch the falling plastic cover of the peeler with the left hand by pushing it towards the body.
P01-20240204-120411-32 | Attempt for the second time to attach the plastic cover of the peeler, which is held in the left hand, to the peeler, held in the right hand.
P01-20240204-120411-33 | Push the plastic cover to fix it in place so that it covers the blade of the peeler.
P01-20240204-120411-34 | Click the cover with the left hand to fix it in place.
P01-20240204-120411-35 | Open the second drawer with the left hand to place the peeler which is being held in the right hand inside it.
P01-20240204-120411-36 | Move the peeler from the left hand to the right hand.
P01-20240204-120411-37 | Place the peeler, which is in the left hand, inside the drawer.
P01-20240204-120411-38 | Pick up the blue chopping board with both hands from inside the second drawer.
P01-20240204-120411-39 | While holding the chopping board with the left hand, carry the blue plate from the countertop with the right hand. This empties space on the countertop to place the chopping board in its place.
P01-20240204-120411-40 | Place the chopping board on the countertop from the left hand.
P01-20240204-120411-41 | Place the plate with the fork on top of it on the right hand side of the sink on top of other plates. This puts it away so that it can be washed later.
P01-20240204-120411-42 | Clap both hands so as to move some dirt off them.
P01-20240204-120411-43 | Open the left door of the lower cupboard with the left hand.
P01-20240204-120411-44 | Open the right door of the lower cupboard with the right hand.
P01-20240204-120411-45 | Check what's inside the cupboard.
P01-20240204-120411-46 | As I couldn't find what I was looking for, close the door of the cupboard. The right door with the right hand and the left door with the left hand.
P01-20240204-120411-47 | Open the door of the dishwasher with the left hand.
P01-20240204-120411-48 | Look inside the dishwasher to check what's inside.
P01-20240204-120411-49 | close the door of the dishwasher with the left hand as I couldn't find what I was looking for
P01-20240204-120411-50 | Open the left door of the upper cupboard with the left hand.
