P01-20240203-132119-1 | Pick up the spatula from the plate on the countertop.
P01-20240203-132119-10 | Stir the content of the pot using the spatula, distributing all the pieces inside the water evenly.
P01-20240203-132119-11 | put down the spatula on the plate.
P01-20240203-132119-13 | pick up the new box of cubes of stock from the countertop. I've just purchased this this morning, it was lying on the countertop.
P01-20240203-132119-14 | open the box of stock cubes by breaking the seal as it hasn't been opened before and pulling the cover.
P01-20240203-132119-15 | Pick up one cube of stock from the box, holding the box with the left hand and picking the cube with the right hand.
P01-20240203-132119-16 | put down the box of stock cubes on the countertop using the left hand.
P01-20240203-132119-17 | open the stock cubes packaging by holding the cube with the left hand and unfolding the foil packaging around it with the right hand.
P01-20240203-132119-18 | hold the foil packaging with the left hand and remove the stock cube from inside the packaging using the right hand.
P01-20240203-132119-19 | Throw the stock cube into the pot with water, carrots and onion to season the soup.
P01-20240203-132119-2 | mix the content of the pot. Clearly the carrots and the onion have softened, their size in the pot is less, holding the pot's handle with the left hand.
P01-20240203-132119-20 | Crumble the foil packaging using the left hand to prepare to throw it.
P01-20240203-132119-232 | pick up the butter package that's on the countertop.
P01-20240203-132119-233 | Open the fridge.
P01-20240203-132119-234 | Place the butter's package on the second shelf left side using the left hand.
P01-20240203-132119-235 | Pick up the unsalted butter from the lower shelf of the fridge using the left hand.
P01-20240203-132119-236 | Close the fridge.
P01-20240203-132119-237 | Pick up the can of condensed milk from the upper shelf. This action is off screen.
P01-20240203-132119-238 | Put down the can of condensed milk on the countertop.
P01-20240203-132119-239 | Put down the butter on the counter top.
P01-20240203-132119-24 | pick up the spatula from the plate,
P01-20240203-132119-242 | open the cupboard using the right hand handle, then hold the door with the left hand.
P01-20240203-132119-243 | pick up the can of cocoa from the upper shelf inside of the cupboard using the right hand.
P01-20240203-132119-244 | Check the cocoa's date and content. Realising this is the drinking cocoa, not the cooking cocoa.
P01-20240203-132119-246 | Pick up another red can of cocoa from the upper shelf.
P01-20240203-132119-247 | place both on the countertop.
P01-20240203-132119-248 | open the red can by holding it with the left hand, holding the lid with the right hand and pulling it up, checking the content of the can, ensuring it has enough and then closing it again by pushing the lid down.
