P01-20240203-152323-11 | Pull the tray of food out of the top shelf of the oven.
P01-20240203-152323-13 | Place the tray filled with food that came out of the oven hot on top of the hob.
P01-20240203-152323-19 | Pick up the side of the meat pie using the fork to check whether the bottom is golden, indicating it is ready and fully baked.
P01-20240203-152323-20 | Return the pie by removing the fork.
P01-20240203-152323-27 | Pick up a serving plate from the countertop.
P01-20240203-152323-28 | Continue holding the serving plate on the left hand. With the right hand, using the plastic spoon, pick up one of the meat pies from the tray that is on top of the hob.
P01-20240203-152323-29 | As the meat pie flips upwards, using the right hand and getting the serving plate closer, slide the pie on top of the serving plate.
P01-20240203-152323-30 | Pick up the second meat pie using the plastic spoon from the tray.
P01-20240203-152323-31 | Place the pie on the serving plate.
P01-20240203-152323-32 | pick up the meat pie using the plastic spoon from the tray.
P01-20240203-152323-33 | place the third pie on the serving plate that's being held using the left hand.
P01-20240203-152323-34 | Pick up the fourth pie from the tray using the plastic spoon.
P01-20240203-152323-35 | Place the pie on the serving plate.
P01-20240203-152323-36 | Slide the fifth pie inside the tray to make it easy to pick it up.
P01-20240203-152323-37 | Pick up the pie, the fifth pie, from inside the tray using the plastic spoon.
P01-20240203-152323-38 | Place the fifth pie to the right of the serving plate that's being held using the left hand. You can see that the plate is now full.
P01-20240203-152323-39 | Try to pick up the remaining two pies from the tray, but they seem to be stuck to the tray, so it's difficult to pick them up.
P01-20240203-152323-40 | With additional force, pick up the sixth pie from the tray.
P01-20240203-152323-41 | Place the sixth pie on the serving plate on top of other pies as the plate is now full.
P01-20240203-152323-42 | Try to pick up the remaining pie from the tray, but it's stuck to the tray base, so it is not moving.
P01-20240203-152323-43 | With additional effort, pick the final pie from the tray using the plastic spoon.
P01-20240203-152323-44 | Place the final pie on the serving plate that's being held with the left hand on top of other pies as the tray is now full.
P01-20240203-152323-46 | Put down the serving plate filled with meat pies on the countertop.
P01-20240203-152323-47 | Push the meat pies inside the plate so that they fit better, using both hands.
P01-20240203-152323-54 | Pick up the second tray filled with meat pies from the lower shelf of the oven using the right hand with the red glove.
P01-20240203-152323-55 | Place the tray that you picked up from the lower shelf inside the upper shelf. It is not yet ready and it needs to be left in the oven a bit longer.
P01-20240203-152323-60 | Pick up a plate from the lower shelf of the cupboard.
P01-20240203-152323-61 | Holding the plate on the left hand, pick up a pie from the serving plate that's placed on the counter.
P01-20240203-152323-62 | place the meat pie on top of the smaller plate that's being held in the left hand.
