P01-20240203-184214-1 | Pick up a lid from the top right burner of the hob.
P01-20240203-184214-10 | open the dishwasher by pushing the already slightly open door further down.
P01-20240203-184214-12 | Pick up a white plastic bowl from the lower drawer of the dishwasher, which is turned upside down, turning it upright while picking it.
P01-20240203-184214-13 | Put the board on the counter top.
P01-20240203-184214-14 | pick up a knife from the countertop,
P01-20240203-184214-15 | Open the cover of the plastic container containing chicken by using the left hand to steady the container. The right hand contains the knife. The knife stabs the edge of the cover and then moves down to tear the plastic cover opening the container.
P01-20240203-184214-16 | Put down the knife on the countertop.
P01-20240203-184214-17 | tear the cover off the plastic container using the left hand by holding one edge of the torn cover from the top right and then peeling it off, moving the hand towards the bottom left of the container so the chicken is exposed and the cover is removed fully.
P01-20240203-184214-18 | pick up the uncovered container using both hands.
P01-20240203-184214-2 | Put the lid on the countertop next to the sink. This action is mostly off screen.
P01-20240203-184214-3 | Pick up the heat diffuser using the left hand from the bottom left burner of the hob.
P01-20240203-184214-4 | pick up the pot on the bottom right burner of the hob using the right hand holding it from its handle.
P01-20240203-184214-5 | Put the heat diffuser on the top right burner using the left hand.
P01-20240203-184214-6 | put the pot on top of the heat diffuser on the same burner. The heat diffuser better heats the rice inside the pot evenly.
P01-20240203-184214-7 | Turn on the hob by pressing and rotating the second dial on the hob.
P01-20240203-184214-8 | bending to check the fire has been lit properly just because I need to see it under the diffuser.
P01-20240203-184214-9 | Adjust the heat by turning the dial counterclockwise until the heat is low.
