P01-20240204-145458-1 | Put the food trash bin that has been emptied on the countertop.
P01-20240204-145458-10 | hold the handle of the pan to steady it
P01-20240204-145458-100 | Stir the vegetable oil in the pot using the wooden spoon to distribute the oil around the bottom of the pot evenly.
P01-20240204-145458-101 | hit the wooden spoon against the rim of the pot to drop any excess oil back in the pot
P01-20240204-145458-102 | Stretch the hand on top of the pot to measure the amount of heat coming from the pot to know if the oil has heated enough. As no significant heat is felt by the hand, wait a little bit more.
P01-20240204-145458-104 | Pick the plate containing Vermicelli pieces from the countertop using the right hand.
P01-20240204-145458-105 | Pour the vermicelli into the pot by holding the plate with the right hand on top of the pot and tilting it so the vermicelli falls into the pot.
P01-20240204-145458-106 | put down the plate on the countertop
P01-20240204-145458-107 | stir the vermicelli in the pot mixing it with the oil covering all the vermicelli with the oil by mixing it with the wooden spoon in the pot
P01-20240204-145458-108 | Hold the pot's handle with the left hand to steady it during mixing.
P01-20240204-145458-109 | Wait for the Vermicelli to change color into golden.
P01-20240204-145458-11 | hit the wooden spoon against the edge of the pan to drop any meat that stuck to it back into the pan
P01-20240204-145458-110 | rest the wooden spoon on the pot
P01-20240204-145458-118 | hold the wooden spoon that was resting on the pot
P01-20240204-145458-119 | Stir the vermicelli in the pot again, distributing the heat and the oil, so that the vermicelli pieces get the golden color evenly.
P01-20240204-145458-12 | put the wooden spoon on the plastic packaging on the countertop
P01-20240204-145458-120 | rest the wooden spoon on the pot
P01-20240204-145458-124 | Pick the wooden spoon that's resting on the pot using the right hand.
P01-20240204-145458-125 | Continue stirring the vermicelli in the pot using the wooden spoon by moving it around.
P01-20240204-145458-126 | rest the wooden spoon on the pot
P01-20240204-145458-127 | pick the strainer with rice from the top of the white bowl
P01-20240204-145458-128 | Pour the rice into the pot by holding the strainer on top of the pot and tilting it so the rice falls into the pot.
P01-20240204-145458-129 | Hit the strainer against the edge of the pot so any rice stuck to it will fall into the pot.
P01-20240204-145458-13 | Pick the lid from the hob.
P01-20240204-145458-130 | Put the strainer back on the bowl.
P01-20240204-145458-131 | pick the wooden spoon
P01-20240204-145458-132 | mix the rice with the vermicelli that has by now become golden by turning the vermicelli that is on the bottom up and mixing the rice with the oil thoroughly mixing all the components of the pot together
P01-20240204-145458-133 | hit the wooden spoon against the edge of the pot to drop any rice and vermicelli stuck to it back into the pot
P01-20240204-145458-134 | rest the wooden spoon on the pot
P01-20240204-145458-135 | Pick up the chicken stock cube from the counter top.
P01-20240204-145458-136 | Open the chicken stock cube by unfolding the edges of the packaging, holding the cube with the left hand and unfolding with the right hand by pinching the edge of the fold and unfolding it.
P01-20240204-145458-137 | pick the chicken stock cube from the packaging using the right hand
P01-20240204-145458-139 | Hold the chicken cube on top of the pot and break it into pieces by holding it from the edges with two hands and just breaking, then crumbling the remaining parts using both hands so the crumbled parts of the chicken cube fall into the pot.
P01-20240204-145458-14 | cover the pan by putting the lid on it using the left hand
P01-20240204-145458-140 | Pick the wooden spoon that has been resting on the pot.
P01-20240204-145458-141 | Mix the broken pieces of chicken stock cube with the rice and vermicelli in the pot using the wooden spoon to stir the content of the pot mixing thoroughly.
P01-20240204-145458-142 | Hit the wooden spoon against the edge of the pot to drop any rice or vermicelli stuck to it back into the pot.
P01-20240204-145458-143 | rest the wooden spoon on the pot
P01-20240204-145458-144 | Pick the kettle from its base using the right hand.
P01-20240204-145458-146 | pour hot water from the kettle into the pot positioning the kettle on top of the pot and tilting it so hot water pours into the pot
P01-20240204-145458-147 | Stop pouring water once the rice seems to be covered with water.
P01-20240204-145458-149 | hold the handle of the pot and hold the wooden spoon,
P01-20240204-145458-150 | Stir the content of the pot, distributing the rice and vermicelli evenly with the water to check the amount of water in the pot.
P01-20240204-145458-151 | still the content of the pot in circular motion,
P01-20240204-145458-153 | pick up the kettle from the countertop
