# Video: P01-20240203-152956
# Narrations: 65
# Format: narration_id | timestamp | narration
#===========================================================

P01-20240203-152956-1 | 4.61s | Pick up the oven glove from the countertop using the right hand.
P01-20240203-152956-2 | 5.39s | Wear the oven glove. This action is mostly off screen.
P01-20240203-152956-3 | 7.38s | Open the oven's door using the left hand, holding the handrail and pulling out.
P01-20240203-152956-4 | 8.51s | Flap the air using the right hand to move the steam coming out of the oven, off the eyesight.
P01-20240203-152956-5 | 14.12s | Pick up the tray from the upper shelf of the oven using the right hand holding the oven glove by sliding it out.
P01-20240203-152956-6 | 17.41s | Close the oven's door.
P01-20240203-152956-7 | 17.98s | Put the tray on the hob.
P01-20240203-152956-8 | 20.23s | Take off the oven's glove.
P01-20240203-152956-9 | 21.18s | Throw the oven's glove on the countertop using the right hand.
P01-20240203-152956-10 | 21.89s | Pick up the plastic spoon from the countertop. This action is off-screen.
P01-20240203-152956-11 | 22.69s | Pick up one meat pie from the tray using the plastic spoon by sliding the spoon under the pie and pulling it up, also using the left hand to break the pie from its neighboring pie.
P01-20240203-152956-12 | 28.47s | put the pie on the plate next to the hob, piling it on top of other pies.
P01-20240203-152956-13 | 29.93s | Try to pick another pie from the tray, but the pies are stuck to the base of the tray.
P01-20240203-152956-14 | 33.36s | Pick up a fork from the countertop.
P01-20240203-152956-15 | 34.23s | Pick another pie from the tray using both the plastic spoon and the fork, placing both on either side of the pie, sliding them under to pull it out of the tray as it's slightly stuck to the base of the tray, also using the plastic spoon to break the pie from the neighboring pies.
P01-20240203-152956-16 | 47.32s | put the pie on the plate, piling it on top of other pies.
P01-20240203-152956-17 | 48.58s | Put down the plastic spoon.
P01-20240203-152956-18 | 50.50s | put down the fork.
P01-20240203-152956-19 | 53.40s | Open the upper cupboard.
P01-20240203-152956-20 | 54.30s | pick up a plate, that's the top of the pile of plates, on the lower shelf of the cupboard.
P01-20240203-152956-21 | 55.00s | Close the cupboard.
P01-20240203-152956-22 | 56.31s | pick up the plastic spoon from the countertop.
P01-20240203-152956-23 | 56.97s | Move the plate filled with pies to the right of the countertop so that to empty space next to the hob to place the other plate.
P01-20240203-152956-24 | 60.56s | Pick up two pies from the tray together using the plastic spoon and supporting these with the left hand. As the pies are attached together and difficult to break, pick up both of them together with the spoon sliding the spoon under the pies and supporting them with the left hand so they don't fall.
P01-20240203-152956-25 | 67.48s | place both pies on the plate next to the hob.
P01-20240203-152956-26 | 68.29s | Try to slide the spoon under more pies, but they are still stuck to the tray and the tray is moving in the process.
P01-20240203-152956-27 | 76.42s | successfully separate two pies from the other pies moving them around the tray.
P01-20240203-152956-28 | 89.87s | Pick up two pies from the tray using the plastic spoon and supporting them with the left hand. These two pies are still attached to one another.
P01-20240203-152956-29 | 92.20s | pick up the plate from the countertop, positioning it next to the tray to slide the pies onto it. This attempt is not successful. The pies still fall back into the tray.
P01-20240203-152956-30 | 100.56s | Separate the two pies from one another by placing the spoon on the edge between them and pushing one away.
P01-20240203-152956-31 | 102.50s | pick up one pie from the tray using the plastic spoon.
P01-20240203-152956-32 | 103.89s | place the pie on the tray piling it on top of the other pies.
P01-20240203-152956-33 | 104.74s | Pick up another pie from the tray using the plastic spoon.
P01-20240203-152956-34 | 106.84s | place the pie on the plate.
P01-20240203-152956-35 | 107.84s | Try to pick up another pie from the tray, but it's attached to the other pie.
P01-20240203-152956-36 | 111.14s | Separate the two pies from one another by placing the spoon on the edge between the two and pushing, breaking them apart.
P01-20240203-152956-37 | 113.19s | Pick up one pie from the tray using the plastic spoon.
P01-20240203-152956-38 | 116.14s | Push the pies already on the plate slightly to the left emptying space. The pies are pushed using the spoon which has the new pie.
P01-20240203-152956-39 | 116.57s | Place the pie on the plate next to the pile of pies.
P01-20240203-152956-40 | 117.77s | pick up the last pie from the tray using the plastic spoon.
P01-20240203-152956-41 | 119.30s | Place the pie on the plate, piling it on top of another pie.
P01-20240203-152956-42 | 120.98s | Put down the plate on the counter top next to the hob.
P01-20240203-152956-43 | 123.20s | Pick up the oven glove from the countertop emptying space.
P01-20240203-152956-44 | 124.17s | Put the plastic spoon on the countertop.
P01-20240203-152956-45 | 124.97s | Wear the oven glove using the right hand.
P01-20240203-152956-46 | 126.68s | Pick up the tray from the hob using the oven glove. The tray is still very hot and it just came out of the oven.
P01-20240203-152956-47 | 129.07s | put the tray in the sink, piling it on top of the other tray.
P01-20240203-152956-48 | 130.59s | Take off the oven glove, this action is off screen.
P01-20240203-152956-49 | 131.97s | throw the oven glove on the countertop.
P01-20240203-152956-50 | 133.25s | Open the second drawer.
P01-20240203-152956-51 | 134.74s | pick up the box of foil wrap from the second drawer.
P01-20240203-152956-52 | 137.06s | open the box of foil wrap by unfolding its cover.
P01-20240203-152956-53 | 138.53s | Pick up the foil wrap from the box, placing the box on the countertop.
P01-20240203-152956-54 | 139.66s | Unroll foil from the foil wrap using the right hand, pulling it upwards.
P01-20240203-152956-55 | 141.33s | tear the unrolled foil by using both hands on the edge of the unrolled foil and tearing it apart.
P01-20240203-152956-56 | 145.49s | put the foil paper that has been torn from the roll on top of the plate filled with meat pies, the first plate that has been filled, in order to cover it and protect the heat.
P01-20240203-152956-57 | 146.54s | Fold the foil around the plate on both sides, also picking it up using both hands.
P01-20240203-152956-58 | 150.59s | put the plate wrapped with foil on another countertop, folding its sides.
P01-20240203-152956-59 | 156.60s | unroll more of the foil paper by picking up the foil roll with the right hand and unrolling with the left hand.
P01-20240203-152956-60 | 160.41s | Tear the additional unrolled foil paper by holding the edge with the left hand and tearing away. The foil roll is being held with the right hand.
P01-20240203-152956-61 | 161.39s | Place the foil roll on the countertop.
P01-20240203-152956-62 | 163.85s | Put the foil unrolled on the plate.
P01-20240203-152956-63 | 164.75s | fold the edges of the foil, picking up the plate with both hands in order to fold the edges under it.
P01-20240203-152956-64 | 166.95s | Tuck all the edges of the foil around the rim of the plate, using the right hand while holding the plate with the left hand from under the plate.
P01-20240203-152956-65 | 172.20s | Put down the plate on the countertop, now fully covered with foil with all edges tucked in.
