# Video: P02-20240211-111219
# Narrations: 161
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240211-111219-1 | 3.94s | place dirty bowl and spoon next to the sink in the washing up pile.
P02-20240211-111219-2 | 5.77s | place cookbook down onto the countertop with the right hand
P02-20240211-111219-3 | 6.39s | Check recording and then lock the phone screen when the recording has started correctly.
P02-20240211-111219-4 | 7.86s | Place the recording phone down onto the countertop near the bageuttes
P02-20240211-111219-5 | 8.91s | Grab the pint glass from the crook of the left arm using the right hand.
P02-20240211-111219-6 | 9.56s | place the glass down onto the countertop
P02-20240211-111219-7 | 10.82s | Pick up the dirty bowl that was recently placed onto the countertop using the left hand.
P02-20240211-111219-8 | 11.36s | transfer the bowl from the left hand to the right hand
P02-20240211-111219-9 | 11.71s | tip out the bowl into the sink to remove any excess milk from it using the right hand and holding the spoon so it doesn't fall out of it
P02-20240211-111219-11 | 12.00s | Turn on the cold water tap using the left hand whilst holding the bowl below it in the right hand.
P02-20240211-111219-10 | 12.09s | Move the tap into the centre of the sink using the left hand so that the bowl can be filled more easily.
P02-20240211-111219-12 | 13.94s | Fill up the dirty bowl with the cold water so that the food doesn't get stuck to it and allows the bowl to soak.
P02-20240211-111219-13 | 15.50s | Turn off the tap using the left hand as the bowl is nearly full.
P02-20240211-111219-14 | 16.61s | Place the bowl down onto the countertop near the sink in the washing up pile with both hands to make sure it doesn't spill.
P02-20240211-111219-15 | 19.17s | Open the cupboard door using the left hand.
P02-20240211-111219-16 | 20.65s | look in to find the citrus juicer in the back of the cupboard
P02-20240211-111219-17 | 22.85s | Reach into the cupboard and grab the citrus juicer with the right hand.
P02-20240211-111219-18 | 26.37s | Close the cupboard using the left hand.
P02-20240211-111219-19 | 26.78s | place the citrus juicer down onto the countertop using the right hand
P02-20240211-111219-20 | 27.58s | Pick up the recipe book for the jams and preserves book using both hands.
P02-20240211-111219-21 | 29.00s | Flip through the recipe book for jams and preserves, using the right hand to flip through the pages, until the recipe for raspberry and lemon curd has been found.
P02-20240211-111219-22 | 33.28s | Holding the book in the middle of the spine, use the left hand to bend back the book so that it can lie flat and won't close on the countertop.
P02-20240211-111219-23 | 35.10s | Place the book onto the countertop using the right hand with the left hand still on top of it.
P02-20240211-111219-24 | 35.64s | push down in the center of the recipe book along the spine to try and make sure it stays open onto the countertop.
P02-20240211-111219-25 | 36.82s | Flip the book over onto its back, using the right hand again so that the page isn't lost, and to try and keep the book open for longer.
P02-20240211-111219-26 | 38.84s | Open up the cupboard using the right hand to grab more utensils that will be used in the recipe.
P02-20240211-111219-27 | 40.40s | Pull out the stack of mixing bowl, colanders, and poached egg holders using the right hand.
