# Video: P03-20240217-094713
# Narrations: 70
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-094713-1 | 4.86s | Open fridge.
P03-20240217-094713-2 | 6.87s | Pick up blueberry box
P03-20240217-094713-3 | 8.95s | Close fridge.
P03-20240217-094713-4 | 10.25s | Put blueberry box onto countertop
P03-20240217-094713-5 | 13.95s | Close microwave oven.
P03-20240217-094713-6 | 16.50s | Open cupboard.
P03-20240217-094713-7 | 17.36s | Pick up bowl from cupboard.
P03-20240217-094713-8 | 18.13s | Close cupboard
P03-20240217-094713-9 | 20.30s | Move coffee jug along the countertop.
P03-20240217-094713-10 | 21.12s | Put down bowl.
P03-20240217-094713-11 | 21.69s | Grab Blueberry Box.
P03-20240217-094713-12 | 22.30s | Remove cling film from blueberry box by slowly peeling it.
P03-20240217-094713-13 | 25.31s | Pick up Blueberry Box.
P03-20240217-094713-14 | 26.60s | Peel blueberry box film to create an opening to later pour the blueberries onto the bowl.
P03-20240217-094713-15 | 28.05s | Pour blueberries into bowl carefully. Using my right hand I keep the opening of the box small so that I don't spill blueberries outside the bowl.
P03-20240217-094713-16 | 34.61s | Pick cling film from blueberry box
P03-20240217-094713-17 | 35.60s | Put down cling film
P03-20240217-094713-18 | 35.90s | Remove other cling film from blueberry box because this cannot be recycled.
P03-20240217-094713-19 | 42.74s | Pick up other cling film from countertop.
P03-20240217-094713-21 | 46.64s | Throw cling film into bin.
P03-20240217-094713-20 | 47.26s | Open bin.
P03-20240217-094713-22 | 50.31s | Close bin lid.
P03-20240217-094713-23 | 51.93s | Move cloth to reveal recycling box.
P03-20240217-094713-24 | 53.53s | Lift recycling box lid to open it.
P03-20240217-094713-25 | 53.88s | Throw plastic box into recycling box.
P03-20240217-094713-26 | 54.52s | Close recycling box lid.
P03-20240217-094713-27 | 59.46s | With my right hand move the coffee filter, with my left hand pick up blueberry bowl.
P03-20240217-094713-28 | 61.10s | Turn on tap to wash blueberries
P03-20240217-094713-29 | 62.18s | wash blueberries
P03-20240217-094713-30 | 64.94s | Rinse blueberries using my right hand to cover the bowl to avoid spilling blueberries into the sink.
P03-20240217-094713-31 | 67.14s | Shuffle blueberries inside the water to better wash them.
P03-20240217-094713-32 | 76.11s | Drain water from the bowl containing blueberries. Using my right hand I cover the blueberries to avoid dropping them into the sink.
P03-20240217-094713-33 | 77.89s | Pour more water into the bowl to wash blueberries more thoroughly.
P03-20240217-094713-34 | 78.24s | Rotate bowl to distribute water more evenly.
P03-20240217-094713-35 | 84.11s | Drain bowl containing blueberries using my right hand to avoid blueberries dropping into the sink.
P03-20240217-094713-36 | 85.79s | Pour more water into the bowl to wash blueberries more thoroughly while shuffling the blueberries inside the bowl.
P03-20240217-094713-37 | 90.61s | Pick up blueberry from the sink.
P03-20240217-094713-38 | 91.24s | Rinse blueberry.
P03-20240217-094713-39 | 92.59s | Eat blueberry.
P03-20240217-094713-40 | 95.24s | Drain water from blueberry bowl using my hand to cover the blueberries and avoid dropping them into the sink.
P03-20240217-094713-41 | 97.00s | Pour more water into the blueberry bowl for a thorough wash.
P03-20240217-094713-42 | 97.00s | rotate bowl to distribute water more evenly
P03-20240217-094713-43 | 100.21s | Turn off tap
P03-20240217-094713-44 | 100.99s | drain water from bowl containing blueberries using my hand to cover the blueberries and avoid them to spill into the sink.
P03-20240217-094713-45 | 107.11s | Put down bowl onto countertop.
P03-20240217-094713-46 | 109.44s | Pick up cloth to dry my hands.
P03-20240217-094713-47 | 110.57s | dry hands
P03-20240217-094713-48 | 113.01s | Pick up bowl from countertop.
P03-20240217-094713-49 | 113.97s | Wipe the bowl using the cloth to dry the bowl.
P03-20240217-094713-50 | 117.21s | Put down cloth on counter top.
P03-20240217-094713-51 | 118.06s | pick up cloth from countertop
P03-20240217-094713-52 | 118.89s | Continue drying the bowl with the cloth.
P03-20240217-094713-53 | 124.09s | With my left hand try to find the hook of the cloth to hang it later.
P03-20240217-094713-54 | 124.74s | Hang cloth
P03-20240217-094713-55 | 129.91s | Put bowl onto table.
P03-20240217-094713-56 | 131.17s | Pick up Jam Jar
P03-20240217-094713-57 | 131.89s | screw jam jar lid to make sure the jar is fully closed
P03-20240217-094713-58 | 133.17s | Open the fridge.
P03-20240217-094713-59 | 134.83s | attempt to put jam jar onto fridge shelf, failing it because there is not enough room.
P03-20240217-094713-60 | 135.90s | Put jam jar onto top shelf where there is enough room.
P03-20240217-094713-61 | 137.72s | Pick up butter
P03-20240217-094713-62 | 139.45s | Put butter on the top shelf of the fridge.
P03-20240217-094713-63 | 141.02s | Close fridge
P03-20240217-094713-64 | 144.17s | Pick up bread.
P03-20240217-094713-65 | 147.27s | Unwrap bread from cling film
P03-20240217-094713-66 | 150.84s | Pick up bread piece
P03-20240217-094713-67 | 151.77s | Put bread piece with the remaining bread inside the cling film.
P03-20240217-094713-68 | 152.72s | Wrap cling film to seal the bread.
P03-20240217-094713-69 | 155.52s | Put down bread
P03-20240217-094713-70 | 156.97s | Move bread.
