# Video: P03-20240217-100448
# Narrations: 147
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-100448-1 | 2.98s | pick up fork
P03-20240217-100448-2 | 4.03s | Pick up red knife.
P03-20240217-100448-3 | 5.90s | Pick up plates with both hands.
P03-20240217-100448-4 | 7.57s | stack plate and cutlery in the right hand on top of the plate in the left hand.
P03-20240217-100448-5 | 11.31s | Put the plates onto the kitchen top.
P03-20240217-100448-6 | 13.70s | put fork on the plate
P03-20240217-100448-7 | 14.82s | put the knife into sink
P03-20240217-100448-8 | 15.71s | Grab cutlery from the plate.
P03-20240217-100448-9 | 18.37s | move knife from right hand to left hand
P03-20240217-100448-10 | 19.78s | pick up dishwasher brush
P03-20240217-100448-11 | 19.90s | brush cutlery
P03-20240217-100448-12 | 22.14s | Move cutlery from the left hand to the right hand.
P03-20240217-100448-13 | 23.43s | Open dishwasher.
P03-20240217-100448-14 | 25.09s | Place cutlery into the dishwasher cutlery tray.
P03-20240217-100448-15 | 29.87s | Pick a plate from the countertop.
P03-20240217-100448-16 | 31.88s | Brush plate to remove breadcrumbs and other bits of food from the plate.
P03-20240217-100448-17 | 37.28s | Pull dishwasher tray
P03-20240217-100448-18 | 39.37s | Place plate inside the dishwasher tray
P03-20240217-100448-19 | 42.74s | Pick up plate from kitchen top.
P03-20240217-100448-20 | 43.27s | Brush plate to remove breadcrumbs and other bits of food from the plate.
P03-20240217-100448-21 | 45.49s | Place plate into the dishwasher rack
P03-20240217-100448-22 | 48.05s | Adjust plate within the dishwasher rack so that it is aligned with the other plate.
P03-20240217-100448-23 | 50.91s | push dishwasher tray
P03-20240217-100448-24 | 53.45s | put down dishwasher brush
P03-20240217-100448-25 | 56.52s | Move chair underneath the table.
P03-20240217-100448-26 | 58.13s | Move the other chair underneath the table.
P03-20240217-100448-27 | 59.82s | Pick up cup.
P03-20240217-100448-28 | 60.40s | move cup from left hand to right hand
P03-20240217-100448-29 | 63.31s | Pull top dishwasher tray.
P03-20240217-100448-30 | 64.56s | Place cup into the dishwasher tray.
P03-20240217-100448-31 | 68.77s | push dishwasher tray
P03-20240217-100448-32 | 70.69s | Close dishwasher.
P03-20240217-100448-33 | 72.81s | Pick up red knife.
P03-20240217-100448-34 | 74.88s | Pick up coffee filter with the other hand.
P03-20240217-100448-35 | 75.94s | Put down red knife.
P03-20240217-100448-36 | 77.56s | Open cupboard while holding the coffee filter above the sink.
P03-20240217-100448-37 | 79.19s | Quickly move the coffee filter from the right hand to the left hand and then return the coffee filter to the right hand again.
P03-20240217-100448-38 | 81.13s | open food waste bin and hold it open by keeping the lid lifted.
P03-20240217-100448-39 | 81.66s | Throw ground coffee in the coffee filter into the food waste bin by repeatedly tapping the coffee filter against the food waste bin.
P03-20240217-100448-40 | 86.62s | Check food waste bin
P03-20240217-100448-41 | 87.51s | Close food waste bin by letting go of its lid.
P03-20240217-100448-42 | 88.48s | Close cupboard.
P03-20240217-100448-43 | 89.40s | Move coffee filter from the right hand to the left hand.
P03-20240217-100448-44 | 90.14s | turn on tap.
P03-20240217-100448-45 | 90.88s | Rinse coffee filter by rotating it horizontally under running tap water.
P03-20240217-100448-46 | 92.23s | empty coffee filter into the sink
P03-20240217-100448-47 | 94.07s | Use my right hand to redirect the running tub water inside the coffee filter to better rinse it.
P03-20240217-100448-48 | 94.43s | Rotate coffee filter horizontally and quickly under the running tap water.
P03-20240217-100448-49 | 95.76s | rub fingers against the inner wall of the coffee filter to remove ground coffee more effectively
P03-20240217-100448-50 | 99.84s | Empty coffee filter into sink.
P03-20240217-100448-51 | 101.16s | Rinse hand
P03-20240217-100448-52 | 102.56s | Use fingers to remove coffee ground from the coffee filter by rubbing the fingers along the inner wall of the coffee filter.
P03-20240217-100448-53 | 109.39s | empty coffee filter into the sink.
P03-20240217-100448-54 | 110.77s | empty coffee filter into the sink and shake it to remove any excess water
P03-20240217-100448-55 | 114.92s | Pick up coffee, filter, stand with my left hand.
P03-20240217-100448-56 | 115.21s | Place coffee filter into the drying rack.
P03-20240217-100448-57 | 115.84s | Rinse coffee filter stand and the running tap water.
P03-20240217-100448-58 | 116.47s | Rotate coffee filter stand to make sure it is well washed.
P03-20240217-100448-59 | 118.36s | Pick up red knife from the sink.
P03-20240217-100448-60 | 119.00s | shake coffee filter stand to remove any excess water
P03-20240217-100448-61 | 119.00s | Place coffee filter stand into the drying rack.
P03-20240217-100448-62 | 119.83s | Rinse bread knife under running tap water by gently moving my left thumb along the blade.
P03-20240217-100448-63 | 122.38s | turn the knife to rinse the other side of the blade
P03-20240217-100448-64 | 123.28s | Rinse knife handle
P03-20240217-100448-65 | 124.19s | Turn knife again to complete rinsing.
P03-20240217-100448-66 | 125.24s | Rinse hand. Briefly shake bread knife to remove excess water.
P03-20240217-100448-67 | 126.54s | place knife into drying rack
P03-20240217-100448-68 | 127.39s | Rinse hand. Pick up sponge with other hand.
P03-20240217-100448-69 | 128.43s | move sponge from left hand to right hand
