# Video: P03-20240217-150310
# Narrations: 216
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-150310-1 | 9.56s | reach inside the top shelf of the cupboard with my left hand to pick up a food container
P03-20240217-150310-2 | 14.11s | With my right hand, grab a food container lid from the top shelf of the cupboard. With my left hand, rest the food container on top of the stack of other containers.
P03-20240217-150310-3 | 16.26s | while holding food container in my left hand and its lid in my right hand close the bottom cupboard with my right hand.
P03-20240217-150310-4 | 33.50s | Pour the food leftovers I just scooped with the spoon into the food container with the rest of the food I poured earlier.
P03-20240217-150310-5 | 47.06s | Tilt the bowl in my left hand so that it is held almost vertically and use the spoon in my right hand to scoop sauce from the outer side of the bowl.
P03-20240217-150310-6 | 60.02s | Using the spoon, continue scooping bits of food, leftovers and sauce from the bowl.
P03-20240217-150310-7 | 66.55s | while tilting the food bowl in my left hand, scoop sauce from the outer side of the bowl below the rim using the spoon in my right hand.
P03-20240217-150310-8 | 98.46s | While holding the bowl I just brushed in my left hand, with my right hand pull the top dishwasher rack while holding the dishwasher brush in my right hand.
P03-20240217-150310-9 | 107.58s | Using the dishwasher brush scrub the bowl to remove food residues and drop them into the sink.
P03-20240217-150310-10 | 113.30s | put down the dishwasher brush into the sink
P03-20240217-150310-11 | 124.15s | pick up the dirty pan and the ladle in it from the kitchen hob with my left hand.
P03-20240217-150310-12 | 124.94s | While moving towards the sink, pick up the ladle from the pan with my right hand.
P03-20240217-150310-13 | 125.76s | put down the ladle into the sink with my right hand
P03-20240217-150310-14 | 126.82s | With my right hand pick up the dishwasher brush from the sink while holding the dirty pan in my left hand.
P03-20240217-150310-15 | 173.42s | pick up dirty spoons from a stack of dirty bowl and a stack of dirty little plates from the table using both hands.
P03-20240217-150310-16 | 177.16s | Push the dishwasher top rack to partially close it so that it gets out of the way.
P03-20240217-150310-17 | 200.36s | Place the black spoon into the dishwasher's cutlery rack.
P03-20240217-150310-18 | 206.00s | with my left hand pick up small dirty bowl from the table.
P03-20240217-150310-19 | 206.54s | with my right hand pick up a stack of two dirty small plates from the table.
P03-20240217-150310-20 | 209.39s | With my right hand put the stack of dirty plates into the sink.
