# Video: P03-20240217-152152
# Narrations: 60
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-152152-1 | 1.95s | Pick up laundry bag.
P03-20240217-152152-2 | 5.92s | Put down laundry bag.
P03-20240217-152152-3 | 6.62s | Pick up cloth.
P03-20240217-152152-4 | 7.51s | Open washing machine.
P03-20240217-152152-5 | 8.84s | Throw cloth inside washing machine.
P03-20240217-152152-6 | 9.58s | Pick up jeans from the laundry basket.
P03-20240217-152152-7 | 11.28s | Put jeans inside the washing machine.
P03-20240217-152152-8 | 14.14s | pick up jumper from the laundry basket
P03-20240217-152152-9 | 16.11s | Put jumper inside washing machine.
P03-20240217-152152-10 | 18.08s | Pick up jeans from laundry basket.
P03-20240217-152152-11 | 19.56s | Put jeans in washing machine.
P03-20240217-152152-12 | 21.44s | Pick up sock from the floor.
P03-20240217-152152-13 | 21.99s | Put sock inside washing machine.
P03-20240217-152152-14 | 23.29s | Pick up clothes from laundry basket.
P03-20240217-152152-15 | 25.41s | Put clothes inside washing machine.
P03-20240217-152152-16 | 27.59s | Pick up more clothes from the laundry basket.
P03-20240217-152152-17 | 29.69s | put clothes inside the washing machine
P03-20240217-152152-18 | 33.99s | Pick up sock from the laundry basket.
P03-20240217-152152-19 | 35.04s | Put sock inside washing machine.
P03-20240217-152152-20 | 36.64s | Move laundry basket.
P03-20240217-152152-21 | 38.04s | Open cupboard.
P03-20240217-152152-22 | 39.99s | Pick up laundry detergent from cupboard.
P03-20240217-152152-23 | 42.14s | Close cupboard.
P03-20240217-152152-24 | 43.04s | Detach cap from laundry detergent bottle.
P03-20240217-152152-25 | 44.24s | put down cap
P03-20240217-152152-26 | 45.74s | open laundry detergent bottle
P03-20240217-152152-27 | 46.54s | Pick up cap.
P03-20240217-152152-28 | 47.89s | rotate, cap in my hand.
P03-20240217-152152-29 | 50.29s | Pour laundry detergent into cap
P03-20240217-152152-30 | 57.94s | put down cap
P03-20240217-152152-31 | 58.93s | Close laundry detergent bottle.
P03-20240217-152152-32 | 60.99s | Flip laundry detergent bottle so that it will stay upright inside the cupboard.
P03-20240217-152152-33 | 61.99s | Put laundry detergent bottle inside cupboard
P03-20240217-152152-34 | 63.36s | Pick up a cap with laundry detergent.
P03-20240217-152152-35 | 64.50s | Place cap inside washing machine on top of clothes.
P03-20240217-152152-36 | 66.24s | Close washing machine
P03-20240217-152152-37 | 68.99s | Adjust clothes inside the washing machine so that the washing machine will close properly.
P03-20240217-152152-38 | 70.81s | Close Washing Machine
P03-20240217-152152-39 | 73.92s | Open cupboard.
P03-20240217-152152-40 | 76.09s | pick up laundry conditioner
P03-20240217-152152-41 | 78.70s | Pull washing machine tray
P03-20240217-152152-42 | 80.16s | Open laundry conditioner by twisting the cap.
P03-20240217-152152-43 | 84.29s | Pour laundry conditioner into cap.
P03-20240217-152152-44 | 87.78s | Pour laundry conditioner into washing machine tray.
P03-20240217-152152-45 | 91.89s | Tap laundry conditioner cap as to make sure all the liquid is poured into the machine.
P03-20240217-152152-46 | 95.57s | Close bottle by twisting cap
P03-20240217-152152-47 | 99.55s | Put laundry conditioner back into the cupboard.
P03-20240217-152152-48 | 100.72s | Close cupboard.
P03-20240217-152152-49 | 102.23s | Push washing machine tray to close it.
P03-20240217-152152-50 | 104.06s | Twist washing machine dial to select the right program.
P03-20240217-152152-51 | 106.86s | Adjust setting in the washing machine by pushing a button.
P03-20240217-152152-52 | 110.52s | change washing machine program by rotating the dial.
P03-20240217-152152-53 | 116.96s | Push button to change setting.
P03-20240217-152152-54 | 118.50s | Rotate dial to change washing machine program.
P03-20240217-152152-55 | 121.66s | Push button to change setting
P03-20240217-152152-56 | 128.13s | Rotate dial to change program.
P03-20240217-152152-57 | 132.04s | Push button to change setting.
P03-20240217-152152-58 | 138.78s | Read programs written on the face of the washing machine.
P03-20240217-152152-59 | 142.91s | Turn dial to choose another washing machine program.
P03-20240217-152152-60 | 145.48s | Start the washing machine by pushing a button.
