# Video: P03-20240217-210126
# Narrations: 75
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-210126-1 | 2.63s | Pick up chocolate wrapper.
P03-20240217-210126-2 | 3.55s | Pick up tissue from plate.
P03-20240217-210126-3 | 4.10s | Place tissue on top of chocolate wrapper.
P03-20240217-210126-4 | 4.72s | wrap chocolate wrapper and tissue together so that i will throw them in one go
P03-20240217-210126-5 | 6.43s | Pick a tissue from other plate.
P03-20240217-210126-6 | 6.82s | move tissue from one hand to the other.
P03-20240217-210126-7 | 8.18s | Open rubbish bin.
P03-20240217-210126-8 | 8.93s | Throw rubbish into rubbish bin while holding the lid open.
P03-20240217-210126-9 | 9.35s | Close rubbish bin lid.
P03-20240217-210126-10 | 11.43s | Pick up dirty cutlery from plates with both hands.
P03-20240217-210126-11 | 12.48s | Move cutlery from my right hand to the left hand.
P03-20240217-210126-12 | 17.04s | Open dishwasher.
P03-20240217-210126-13 | 18.83s | pull dishwasher tray
P03-20240217-210126-14 | 21.17s | pick up dishwasher brush
P03-20240217-210126-15 | 23.12s | Brush the dirty cutlery with the dishwasher brush.
P03-20240217-210126-16 | 24.02s | Swap cutlery and brush from one hand to the other, since my dominant hand is the right one.
P03-20240217-210126-17 | 27.56s | Brush dirty cutlery with dishwasher brush
P03-20240217-210126-18 | 32.84s | place dirty cutlery inside dishwasher tray
P03-20240217-210126-19 | 36.50s | move cutlery within the dishwasher tray to ensure that they get washed properly.
P03-20240217-210126-20 | 48.80s | put down dishwasher brush
P03-20240217-210126-21 | 52.68s | Pick up dirty plates from the table with both hands.
P03-20240217-210126-22 | 57.62s | Put down plate on countertop.
P03-20240217-210126-23 | 59.43s | Move dirty plate from a right hand to the left hand.
P03-20240217-210126-24 | 60.72s | pick up dishwasher brush
P03-20240217-210126-25 | 61.77s | Scrub dirty plate with dishwasher brush without using water.
P03-20240217-210126-26 | 67.59s | put dishwasher brush into the sink
P03-20240217-210126-27 | 69.25s | Pick up lid from the dishwasher in order to make room for the dirty plate.
P03-20240217-210126-28 | 70.09s | Place dirty plate inside dishwasher.
P03-20240217-210126-29 | 73.26s | Try to place the lid back into the dishwasher, but struggling because there isn't enough space.
P03-20240217-210126-31 | 79.02s | Place lid inside the dishwasher rack.
P03-20240217-210126-30 | 79.39s | Move pan within the dishwasher tray to make room for the lid.
P03-20240217-210126-32 | 84.76s | Pick up the lid again and make sure it is well positioned inside the dishwasher.
P03-20240217-210126-33 | 88.89s | pick up dishwasher brush
P03-20240217-210126-34 | 90.38s | Pick up a small bowl.
P03-20240217-210126-35 | 91.43s | brush bowl with the dishwasher brush
P03-20240217-210126-36 | 94.87s | Place bowl in the dishwasher rack.
P03-20240217-210126-37 | 96.49s | Pick a plate from the countertop.
P03-20240217-210126-38 | 97.55s | pick up dishwasher brush
P03-20240217-210126-39 | 98.25s | scrub dirty plate with the dishwasher brush
P03-20240217-210126-40 | 102.08s | put down dishwasher brush into the sink
P03-20240217-210126-41 | 103.30s | Try to place the plate inside the dishwasher rack struggling with it because there isn't enough room.
P03-20240217-210126-42 | 105.75s | Grab pan within the dishwasher rack to make room for the dirty plate.
P03-20240217-210126-43 | 108.34s | Slide in the dirty plate into the dishwasher rack while holding the pan.
P03-20240217-210126-44 | 110.90s | Rearrange pan within the dishwasher rack to make sure there is enough room for all the items.
P03-20240217-210126-45 | 113.59s | Grab lid within the dishwasher rack to make sure there is enough space between the lid and the plate and it gets washed properly.
P03-20240217-210126-46 | 116.37s | Pick up saucepan from the countertop.
P03-20240217-210126-47 | 116.88s | empty saucepan into the sink.
P03-20240217-210126-48 | 117.92s | Move saucepan from right hand to left hand.
P03-20240217-210126-49 | 118.62s | Place saucepan into the dishwasher rack.
P03-20240217-210126-50 | 125.45s | Pick up bowl from the table.
P03-20240217-210126-51 | 128.68s | empty bowl into the sink
P03-20240217-210126-52 | 129.93s | put down bowl
P03-20240217-210126-53 | 131.71s | pick up saucepan from kitchen hob.
P03-20240217-210126-54 | 134.23s | Turn on tap
P03-20240217-210126-55 | 134.68s | quickly rinse the dirty saucepan with a little bit of water.
P03-20240217-210126-56 | 135.47s | Turn off tap
P03-20240217-210126-57 | 136.39s | Empty saucepan into the sink.
P03-20240217-210126-58 | 137.70s | pick up dishwasher brush
P03-20240217-210126-59 | 138.47s | Scrub saucepan with dishwasher brush.
P03-20240217-210126-60 | 148.87s | put dishwasher brush into the sink
P03-20240217-210126-61 | 151.00s | Move small bowl within the dishwasher rack to make room for the saucepan.
P03-20240217-210126-62 | 154.29s | Pick up other bowl from the dishwasher rack to make room for the saucepan.
