# Video: P03-20240218-202148
# Narrations: 344
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240218-202148-1 | 0.00s | With my right hand, pick up a plastic lid from the table.
P03-20240218-202148-2 | 2.16s | Place the plastic lid on the sweet's plastic box.
P03-20240218-202148-3 | 3.68s | With my right hand, pick up the sweet's cardboard box from the right hand side of the table.
P03-20240218-202148-4 | 4.92s | Push the sweet plastic box together with its lid inside the sweet cardboard box. I push the plastic box with my left hand and I hold the cardboard box with my right hand.
P03-20240218-202148-5 | 7.24s | Close the sweet's cardboard box by tucking the cardboard flap on the left hand side using my left hand.
P03-20240218-202148-6 | 8.14s | With my left hand, I lift stuff on the middle shelf of the plastic stand next to the fridge to make room for the sweet's box, which I'm about to put in there.
P03-20240218-202148-7 | 12.14s | With my right hand, place the sweet's box in the middle shelf of the plastic stand.
P03-20240218-202148-8 | 14.14s | With my right hand, move bags and other packaging in the middle shelf of the plastic stand to rearrange the shelf and make sure the sweet's box has enough room and nothing falls off the shelf.
P03-20240218-202148-9 | 16.69s | With my left hand, push the chair sliding it underneath the table.
P03-20240218-202148-10 | 18.71s | With my right hand, push the other chair, sliding it underneath the table.
P03-20240218-202148-11 | 20.79s | With my right hand, pick up the bowl containing the grapes from the top right corner of the table.
P03-20240218-202148-12 | 22.83s | With my right hand, open the fridge by pulling the fridge door.
P03-20240218-202148-13 | 24.39s | With my left hand, place the bowl containing the grapes in the middle shelf of the fridge.
P03-20240218-202148-14 | 25.98s | With my right hand, close the fridge.
P03-20240218-202148-15 | 27.00s | With my right hand, pick up the grapes leftovers from the bowl standing at the center of the table.
P03-20240218-202148-16 | 29.59s | With my right hand, pick up the dirty bowl from the center of the table, a fork is placed inside the bowl.
P03-20240218-202148-17 | 30.55s | With my left hand, pick up another dirty bowl from the left hand side of the table. A fork is placed inside the bowl.
P03-20240218-202148-18 | 33.63s | Put down the two bowls on the kitchen top next to the sink using both hands, putting down one bowl per hand at the same time.
P03-20240218-202148-19 | 35.61s | With my right hand, push the washing machine door from left to right, so that it is out of the way and I can open the cupboard under the sink.
P03-20240218-202148-21 | 36.04s | With my left hand, open the food waste bin located on the top shelf of the cupboard under the sink by lifting the bin lid.
P03-20240218-202148-20 | 36.37s | With my left hand, open the cupboard under the sink by pulling the cupboard.
P03-20240218-202148-22 | 36.85s | Throw the grapes leftovers into the food waste bin with my left hand.
P03-20240218-202148-23 | 38.43s | With my left hand, close the food waste bin by letting go of the lid.
P03-20240218-202148-24 | 38.91s | With my right hand, close the cupboard under the sink.
P03-20240218-202148-25 | 43.84s | With my right hand, pull the top cupboard to open it.
P03-20240218-202148-26 | 45.04s | With my left hand, pull the bottom cupboard to open it.
P03-20240218-202148-27 | 46.10s | With my left hand, pick up the food container from the top shelf of the bottom cupboard.
P03-20240218-202148-28 | 47.85s | With my right hand, push the bottom cupboard to close it.
P03-20240218-202148-29 | 48.80s | With my left hand, open the bottom cupboard again because I forgot to take the food container lid.
P03-20240218-202148-30 | 49.90s | With my left hand, pick out the food container lid and divider from the top shelf of the bottom cupboard.
P03-20240218-202148-31 | 52.19s | With the right hand, push the bottom cupboard to close it.
P03-20240218-202148-32 | 53.15s | With my right hand, close the top cupboard.
P03-20240218-202148-33 | 55.99s | With my right hand, put the food container on the table.
P03-20240218-202148-34 | 57.28s | With my right hand, place the divider inside the food container, placing the divider towards the right hand side of the container.
P03-20240218-202148-35 | 58.28s | With my left hand, put down the food container lid on the left hand side of the table.
P03-20240218-202148-36 | 59.36s | With my right hand, grab the wooden spoon from the plate.
P03-20240218-202148-37 | 60.52s | With my left hand, grab the plate containing the mashed potato leftovers from the table.
P03-20240218-202148-38 | 61.79s | Scoop the mashed potato from the plate using the wooden spoon that I'm holding in my right hand.
P03-20240218-202148-39 | 63.54s | Place the mashed potato in the right compartment of the food container, tilting the wooden spoon so that the mashed potato drops into the container compartment.
P03-20240218-202148-40 | 65.26s | Scoop more mashed potato from the plate, which I'm holding in my left hand, using the wooden spoon I'm holding in my right hand.
P03-20240218-202148-41 | 68.57s | Tap the wooden spoon against the edge of the food container to drop the mashed potato into the right food container compartment.
P03-20240218-202148-42 | 70.78s | Scoop more mashed potato from the plate which I'm holding in my left hand using the wooden spoon that I'm holding in my right hand.
P03-20240218-202148-43 | 74.05s | With my left hand, put down the now empty plate on the table.
P03-20240218-202148-44 | 77.23s | With my left hand, grab the food container and turn it slightly on the table.
P03-20240218-202148-45 | 77.93s | With my right hand, tap the wooden spoon against the edge of the food container to drop the mashed potato attached to the wooden spoon into the right hand side compartment of the food container.
P03-20240218-202148-46 | 79.14s | With my left hand, pick up a bit of mashed potato that fell on the table while tapping the spoon earlier.
P03-20240218-202148-47 | 80.14s | Drop the bit of mashed potato into the right hand side compartment of the food container.
P03-20240218-202148-48 | 80.65s | With my left hand, pick up other small bits of mashed potato from the left compartment of the food container. These bits of potato fell there earlier when I tapped the wooden spoon against the food container.
P03-20240218-202148-49 | 82.48s | Drop the small bits of mashed potato in the right compartment of the food container using my left hand.
P03-20240218-202148-50 | 83.28s | With my right hand, put the wooden spoon on the empty plate.
P03-20240218-202148-51 | 83.83s | With my left hand, pick up another plate containing the stroganoff leftovers from the center of the table.
P03-20240218-202148-52 | 84.91s | With my right hand, grab the spoon from the plate containing the stroganoff leftovers.
P03-20240218-202148-53 | 89.91s | Transfer the stroganoff leftovers from the plate to the food container. I'm tilting the plate above the food container with my left hand and push the food towards the edge of the plate until it drops into the container using the metal spoon which I'm holding in my right hand.
P03-20240218-202148-54 | 93.93s | Stir the stroganoff leftovers in the left compartment of the food container so that the food is well distributed in the compartment.
P03-20240218-202148-55 | 94.74s | Scoop more stroganoff leftovers from the plate which I'm holding in my left hand, using the metal spoon which I'm holding in my right hand.
P03-20240218-202148-56 | 100.82s | Tap the metal spoon against the edge of the food container to drop the stroganoff leftovers attached to the spoon into the left compartment of the food container.
P03-20240218-202148-57 | 102.94s | Scoop more stroganoff leftovers from the plate which I'm holding in my left hand, using the metal spoon that I'm holding in my right hand.
P03-20240218-202148-58 | 108.57s | Tap the metal spoon against the edge of the food container to drop the stroganoff leftovers into the left compartment of the food container.
