# Video: P04-20240414-072251
# Narrations: 426
# Format: narration_id | timestamp | narration
#===========================================================

P04-20240414-072251-1 | 5.35s | With the left hand, pick up the pan that is on the electric hob.
P04-20240414-072251-2 | 6.43s | Place the pan on top of the plate on the counter top with the left hand.
P04-20240414-072251-3 | 10.95s | With the right hand, pull out the dish sponge that is in the spoon holder on the countertop next to the kitchen sink.
P04-20240414-072251-4 | 12.40s | Transfer the dish sponge from the right hand to the left hand.
P04-20240414-072251-5 | 13.11s | Turn on the tap with the right hand.
P04-20240414-072251-6 | 14.71s | Hold the dish sponge under the running tap water with the right hand and squeeze it in order to get it wet.
P04-20240414-072251-7 | 25.34s | Shake the dish sponge over the kitchen sink with the right hand to get rid of excess water.
P04-20240414-072251-8 | 26.08s | Again hold the sponge under the running tap water with the right hand and squeeze it to drain out the water.
P04-20240414-072251-9 | 28.22s | Shake the sponge in the right hand over the kitchen sink to get rid of excess water.
P04-20240414-072251-10 | 28.94s | Turn off the tap with the left hand.
P04-20240414-072251-11 | 31.10s | With the left hand, pull out the soap dispenser from the utensil holder on the dish drainer next to the kitchen sink.
P04-20240414-072251-12 | 33.74s | Place the dispenser on the countertop space behind the kitchen sink with the left hand.
P04-20240414-072251-13 | 35.14s | Press the nozzle of the soap dispenser with the left hand to get some soap on the sponge held by the right hand.
P04-20240414-072251-14 | 37.89s | With the left hand, pick up the spoon from the plastic container.
P04-20240414-072251-15 | 39.67s | Place the spoon in the kitchen sink with the left hand.
P04-20240414-072251-16 | 41.64s | With the left hand, pick out a plastic container from the countertop separating it from the one on which it was placed.
P04-20240414-072251-17 | 44.47s | Turn on the tap with the right hand.
P04-20240414-072251-18 | 46.87s | Turn off the tap after collecting some water in the plastic container.
P04-20240414-072251-19 | 47.57s | Tip the plastic container to pour out the water in the kitchen sink.
P04-20240414-072251-20 | 48.37s | Use the sponge in the right hand to scrub the container held in the left hand in order to scrub it as well as to lather up soap.
P04-20240414-072251-21 | 74.94s | Tip the plastic container to pour out the soapy water contained in it.
P04-20240414-072251-22 | 75.93s | Continue scrubbing the inner parts of the container with the dish sponge held in the right hand.
P04-20240414-072251-23 | 77.70s | With both hands, flip over the plastic container box.
P04-20240414-072251-24 | 78.58s | Use the dish sponge in the right hand to scrub the back side of the box held by the left hand.
P04-20240414-072251-25 | 94.25s | Flip over the plastic container box and scrub the insides again.
P04-20240414-072251-26 | 102.83s | Place the container box in the kitchen sink with the left hand.
P04-20240414-072251-27 | 104.82s | Pick up the container box in the kitchen sink and move it a bit towards the bottom with the left hand.
P04-20240414-072251-28 | 106.87s | Pick up the other plastic container box that is dirty and was placed on the countertop next to the kitchen sink with the left hand so that it can be washed next.
P04-20240414-072251-29 | 107.84s | Turn on the tap with the right hand.
P04-20240414-072251-30 | 110.01s | Rinse the plastic container in the left hand under the running tap water.
P04-20240414-072251-31 | 110.60s | Tip the plastic container over the kitchen sink to pour out the water.
P04-20240414-072251-32 | 111.69s | Continue rinsing the plastic container in the left hand with the running tap water.
P04-20240414-072251-33 | 113.08s | Put down the sponge with the right hand into the kitchen sink.
P04-20240414-072251-34 | 114.10s | With the right hand, scrub the plastic container held by the left hand under the running water to clean it.
P04-20240414-072251-35 | 114.97s | Tip the plastic container to pour out the water collected in it.
P04-20240414-072251-36 | 116.24s | Again pour out the water in the container by tipping it.
P04-20240414-072251-37 | 117.92s | Pick up the dish sponge with the right hand.
P04-20240414-072251-38 | 119.16s | Scrub the plastic container held in the left hand with the dish sponge in the right hand in order to clean it and to lather up the soap.
P04-20240414-072251-39 | 129.72s | Place the plastic container in the left hand in the kitchen sink.
P04-20240414-072251-40 | 131.50s | Press the nozzle of the dish wash soap dispenser to get some washing liquid on the dish sponge held in the right hand.
P04-20240414-072251-41 | 134.53s | Pick up the plastic container again with the left hand and lift it off the kitchen sink's floor.
P04-20240414-072251-42 | 135.67s | Continue scrubbing the surface of the plastic container with the dish sponge held in the right hand.
P04-20240414-072251-43 | 146.40s | Flip the plastic container to the other side and scrub the outside walls and the bottom of the plastic container with the dish sponge in the right hand.
P04-20240414-072251-44 | 157.29s | Turn over the plastic container in the left hand to continue scrubbing the inner parts of the plastic container with the dish sponge in the right hand.
P04-20240414-072251-45 | 161.55s | Put down the plastic container that is in the left hand into the kitchen sink.
P04-20240414-072251-46 | 164.24s | Pick up the whisk from the kitchen sink with the left hand.
P04-20240414-072251-47 | 165.71s | Scrub the whisk with the dish sponge held by the right hand in order to clean it and to work up a lather.
P04-20240414-072251-48 | 181.93s | Rotate the whisk in the left hand to scrub the handle with the dish sponge in the right hand.
P04-20240414-072251-49 | 186.27s | Put down the whisk with the left hand back in the kitchen sink.
P04-20240414-072251-50 | 188.48s | Pick up the knife from the sink.
P04-20240414-072251-51 | 189.14s | Turn off the tap with the right hand.
P04-20240414-072251-52 | 190.64s | Scrub the blade of the knife with the sponge held in the right hand.
P04-20240414-072251-53 | 198.82s | Turn the knife with the left hand to scrub its handle with the sponge held in the right hand.
P04-20240414-072251-54 | 202.89s | Put down the knife back into the sink with the left hand.
P04-20240414-072251-55 | 205.34s | With the left hand, move the position of the plastic containers in the kitchen sink.
P04-20240414-072251-56 | 207.04s | With the left hand, pick up the tablespoon from the kitchen sink.
P04-20240414-072251-57 | 207.99s | Scrub the kitchen spoon with the dish sponge held in the right hand in order to clean it and to work up a lather of soap.
P04-20240414-072251-58 | 212.49s | Rotate the spoon with the left hand in order to scrub its handle with the dish sponge held by the right hand.
P04-20240414-072251-59 | 217.99s | Put down the sponge back into the sink with the right hand.
P04-20240414-072251-60 | 218.69s | Transfer the spoon from the left hand to the right hand.
P04-20240414-072251-61 | 219.36s | With the right hand, place the spoon in the plastic container that is on the floor of the kitchen sink.
P04-20240414-072251-62 | 221.07s | Turn on the tap with the right hand.
P04-20240414-072251-63 | 223.39s | Pick up the spoon from the plastic container in the sink with the right hand.
P04-20240414-072251-64 | 223.56s | Wash and rinse the spoon in order to get rid of the soap on it under the running tap water with both hands.
P04-20240414-072251-65 | 230.46s | Shake the spoon over the kitchen sink with the right hand in order to get rid of the excess water on it.
P04-20240414-072251-66 | 234.41s | Place the spoon in the spoon holder next to the kitchen sink in order to allow it to dry.
P04-20240414-072251-67 | 236.80s | With both hands, pick up one plastic container from the kitchen sink and tip it to pour out the water collected in it.
P04-20240414-072251-68 | 239.96s | Wash the plastic container under the running tap water to clean and rinse it and to get the soap off it.
P04-20240414-072251-69 | 244.08s | Rotate the nozzle of the tap with the right hand.
P04-20240414-072251-70 | 245.37s | Continue scrubbing the plastic container with both hands to clean it.
P04-20240414-072251-71 | 257.62s | With the right hand, shake the plastic container over the kitchen sink in order to get rid of the excess water on it.
P04-20240414-072251-72 | 259.88s | Place the plastic container on the draining rack that is next to the kitchen sink with the right hand.
P04-20240414-072251-73 | 262.66s | Pick up the other plastic container in the kitchen sink with the left hand.
P04-20240414-072251-74 | 262.73s | Wash the plastic container with both hands rinsing and cleaning it to get the soap off of it under the tap water.
P04-20240414-072251-75 | 281.48s | Shake the plastic container over the kitchen sink with the right hand in order to get rid of the excess water that might be on it.
P04-20240414-072251-76 | 282.60s | Place the plastic container on top of the other plastic container on the drying rack next to the kitchen sink.
P04-20240414-072251-77 | 283.92s | With the left hand, pick up the knife from the sink by holding its handle.
P04-20240414-072251-78 | 284.95s | Wash the knife under the running tap water with both hands to clean it and to remove the soap off of it.
P04-20240414-072251-79 | 297.19s | Place the knife on the drying rack next to the kitchen sink with the right hand.
P04-20240414-072251-80 | 299.68s | With the left hand, pick up the whisk from the kitchen sink.
P04-20240414-072251-81 | 301.03s | Wash the whisk with both hands under the running tap water to clean it and also to remove the soap that is on it.
P04-20240414-072251-82 | 310.48s | Shake the whisk over the kitchen sink with the right hand to get rid of the excess water on it.
P04-20240414-072251-83 | 312.85s | Place the whisk in the spoon holder next to the kitchen sink so that it can dry there.
P04-20240414-072251-84 | 314.57s | Pick up and bring the spoon holder a bit closer to the drying rack with the right hand.
P04-20240414-072251-85 | 315.89s | With the left hand, pick up the teaspoon that was on the plastic chopping board towards the left.
P04-20240414-072251-86 | 318.51s | Hold the spoon under the running tap water with the right hand in order to rinse it.
P04-20240414-072251-87 | 319.56s | Place the spoon on the floor of the kitchen sink with the right hand.
P04-20240414-072251-88 | 319.93s | With the left hand, pick up the plastic measuring cup from the plastic chopping board towards the left of the kitchen sink.
P04-20240414-072251-89 | 320.77s | Transfer the plastic measuring cup from the left hand to the right hand.
P04-20240414-072251-90 | 321.31s | Rinse the plastic measuring cup under the running tap water with the right hand.
P04-20240414-072251-91 | 324.32s | Place the measuring cup in the kitchen sink with the right hand.
P04-20240414-072251-92 | 325.00s | With the left hand, pick up the white coloured plastic chopping board from the counter top next to the kitchen sink.
P04-20240414-072251-93 | 326.31s | Hold the plastic chopping board with both hands under the running tap water to rinse it.
P04-20240414-072251-94 | 329.09s | Place the chopping board in the kitchen sink with both hands.
P04-20240414-072251-95 | 330.66s | With the left hand, pick up and move the spoon which was getting in the way of the plastic chopping board.
P04-20240414-072251-96 | 332.28s | With the left hand, pick up the lid of the plastic container from the counter top next to the kitchen sink.
P04-20240414-072251-97 | 333.35s | Hold the lid under the running tap water and clean it with both hands to rinse it.
P04-20240414-072251-98 | 337.64s | Place the lid of the plastic container on top of the spoon in the kitchen sink.
P04-20240414-072251-99 | 338.90s | Shake the left hand over the kitchen sink in order to dry it.
P04-20240414-072251-100 | 340.19s | Turn off the tap with the right hand.
P04-20240414-072251-101 | 341.08s | Pick up the dish sponge from the kitchen sink with the right hand.
P04-20240414-072251-102 | 342.36s | Pick up the plastic lid from the kitchen sink with the left hand.
P04-20240414-072251-103 | 342.75s | Scrub the plastic lid held in the left hand with the dish sponge held by the right hand in order to clean the lid as well as to work up a lather of soap.
P04-20240414-072251-104 | 348.81s | Flip the plastic lid in the left hand to reveal the back side which needs to be scrubbed.
