# Video: P05-20240423-183358
# Narrations: 23
# Format: narration_id | timestamp | narration
#===========================================================

P05-20240423-183358-1 | 2.90s | Close the door with left hand whilst holding used plate with spoon on top in right hand.
P05-20240423-183358-2 | 5.85s | Hold plate with both hands, then pick up tablespoon from plate with right hand.
P05-20240423-183358-3 | 7.16s | open dishwasher with right hand whilst holding dirty tablespoon
P05-20240423-183358-4 | 8.38s | Open cutlery drawer of dishwasher with right hand whilst holding tablespoon.
P05-20240423-183358-5 | 10.30s | Put tablespoon in cutlery drawer of dishwasher with right hand.
P05-20240423-183358-6 | 10.80s | Close cut the cutlery drawer of dishwasher with right hand.
P05-20240423-183358-7 | 11.48s | Push down door of dishwasher with right hand so it's all the way open. Then pull out bottom drawer of dishwasher with right hand whilst holding dirty plate in left hand.
P05-20240423-183358-8 | 12.72s | Place dirty plate with left hand in bottom drawer of dishwasher.
P05-20240423-183358-9 | 14.16s | close bottom drawer of dishwasher with right hand
P05-20240423-183358-10 | 15.06s | Close dishwasher door with right hand.
P05-20240423-183358-11 | 16.78s | pick up pan which has colander of rice on it with both hands from the cooker.
P05-20240423-183358-12 | 19.02s | Place rice on the countertop using both hands.
P05-20240423-183358-13 | 19.73s | pick up lid of rice from counter with left hand.
P05-20240423-183358-14 | 20.77s | Place lid of rice on the rice to keep it warm.
P05-20240423-183358-15 | 21.78s | Test handle of pan to make it sure that it isn't too hot with right hand, then pick up pan with right hand.
P05-20240423-183358-16 | 23.78s | Move oven gloves with left hand to make space for the pan of curry which is in my right hand to put it on the counter.
P05-20240423-183358-17 | 25.12s | Pick up wooden spoon with right hand whilst grasping pan handle with left hand. Tap spoon on side of pan to get rid of excess curry.
P05-20240423-183358-18 | 26.61s | Transfer the wooden spoon to left hand and pick up the pan with right hand.
P05-20240423-183358-19 | 28.18s | Put the lid of pan on the curry with my right hand whilst leaving the tablespoon in the curry because I might want to use it to serve stuff later.
P05-20240423-183358-20 | 32.59s | Open door of dishwasher with right hand whilst holding wooden spoon in left hand.
P05-20240423-183358-21 | 34.51s | pull out cutlery drawer of dishwasher with right hand and put wooden spoon in the cutlery drawer with my left hand.
P05-20240423-183358-22 | 35.58s | close cutlery drawer with right hand
P05-20240423-183358-23 | 36.53s | Closed door of dishwasher.
