# Video: P05-20240424-130119
# Narrations: 114
# Format: narration_id | timestamp | narration
#===========================================================

P05-20240424-130119-1 | 4.09s | Close door using right hand and check that the catch engages.
P05-20240424-130119-2 | 8.67s | Pick up plate from the shelf using my right hand.
P05-20240424-130119-3 | 11.01s | put plate on counter
P05-20240424-130119-4 | 13.46s | Open cutlery drawer with left hand.
P05-20240424-130119-5 | 15.74s | Pick up tablespoon with right hand.
P05-20240424-130119-6 | 16.60s | Close cutlery drawer.
P05-20240424-130119-7 | 17.27s | Open fridge with right hand whilst holding the tablespoon.
P05-20240424-130119-8 | 20.49s | Pick up colander of rice using left hand from the second shelf from the bottom in the fridge.
P05-20240424-130119-9 | 22.27s | Close fridge door with right hand whilst holding the tablespoon in the right hand and the colander of rice in the left hand.
P05-20240424-130119-10 | 23.76s | Use tablespoon with right hand to spoon rice onto the plate.
P05-20240424-130119-11 | 27.00s | Break up rice on the plate with a tablespoon.
P05-20240424-130119-12 | 36.85s | Scoop more rice from the colander onto the plate.
P05-20240424-130119-13 | 38.54s | Shake tablespoon to get rice off it and put down on the plate using my right hand.
P05-20240424-130119-14 | 42.92s | Open the fridge door with my right hand whilst holding the colander and rice with my left hand so I can put it back.
P05-20240424-130119-15 | 44.77s | Place the colander on the second shelf from the bottom in the fridge using my left hand.
P05-20240424-130119-16 | 46.66s | Close the fridge door with right hand.
P05-20240424-130119-17 | 47.80s | Take the lid off the curry pan using my right hand whilst using my left hand to move the pan towards the plate.
P05-20240424-130119-18 | 49.87s | Put pan lid down on counter using left hand whilst picking up the serving spoon with my right hand.
P05-20240424-130119-19 | 51.71s | stir curry so that the separated oil goes back into it.
P05-20240424-130119-20 | 62.44s | Lift pan up with left hand so it gets closer to the plate so it doesn't get curry everywhere and start spooning up the curry with the serving spoon.
P05-20240424-130119-21 | 64.44s | Realise that the tablespoon is in the way, so move it with right hand.
P05-20240424-130119-22 | 66.00s | pick up serving spoon which has curry on it and put curry on top of rice.
P05-20240424-130119-23 | 69.24s | Take another spoon of curry and put it on top of the rice.
P05-20240424-130119-24 | 75.51s | Put serving spoon back in curry and place pan back on counter with my left hand
P05-20240424-130119-25 | 76.67s | pick up curry lid with right hand and put it back on the pan.
P05-20240424-130119-26 | 79.16s | Pick up tablespoon from plate because I don't want to put that in the microwave and pick up plate with left hand.
P05-20240424-130119-27 | 80.42s | Put tablespoon back on the counter.
P05-20240424-130119-28 | 81.99s | open the microwave by pressing the door release button
P05-20240424-130119-29 | 82.74s | Transfer plate to right hand and place in the microwave.
P05-20240424-130119-30 | 84.94s | close the microwave door with my left hand.
P05-20240424-130119-31 | 85.90s | Press the start button three times on the microwave, because this will add one minute 30 to the time.
P05-20240424-130119-32 | 88.03s | Pick up glass with my right hand and open the dishwasher door with my left hand.
P05-20240424-130119-33 | 90.28s | pull out middle drawer of dishwasher with left hand.
P05-20240424-130119-34 | 91.43s | Place glass in the middle dishwasher drawer with the right hand.
P05-20240424-130119-35 | 96.57s | pick up chopping board
P05-20240424-130119-36 | 99.27s | Close middle drawer of dishwasher with right hand.
P05-20240424-130119-37 | 100.21s | fully open dishwasher door with right hand so I can get to the bottom drawer.
P05-20240424-130119-38 | 101.09s | Pull out bottom dishwasher drawer with right hand.
P05-20240424-130119-39 | 102.74s | Transfer chopping board to right hand and try to put it in the bottom dishwasher drawer so that it doesn't get in the way of the spinny thing.
P05-20240424-130119-40 | 110.34s | pick up old cup of tea that's lying around with right hand because it needs washing up.
P05-20240424-130119-41 | 111.22s | Check temperature of cup of tea to check that it's gone cold.
P05-20240424-130119-42 | 113.07s | pour away tea because nobody wants it anymore.
P05-20240424-130119-43 | 115.98s | Open middle drawer of dishwasher with left hand.
P05-20240424-130119-44 | 117.18s | Place empty cup in dishwasher drawer with right hand.
P05-20240424-130119-45 | 118.59s | Close middle dishwasher drawer with left hand.
P05-20240424-130119-46 | 119.60s | Close bottom dishwasher drawer with right hand.
P05-20240424-130119-47 | 121.57s | Close dishwasher door with left hand.
P05-20240424-130119-48 | 122.51s | roll up sleeves so they don't get wet when i wash my hands
P05-20240424-130119-49 | 124.56s | pick up cloth from a bowl containing weak bleach. I'm just pinching it so I don't get too much bleach on my hands.
P05-20240424-130119-50 | 125.94s | Turn on cold tap with left hand and rinse most of the bleach out of the cloth using both hands under the running water.
P05-20240424-130119-51 | 129.38s | Squeeze out the cloth.
P05-20240424-130119-52 | 130.72s | turn off the cold tap with my left hand whilst holding the cloth in it.
P05-20240424-130119-53 | 131.19s | pick up bowl of water with right hand and empty it into the right hand sink.
P05-20240424-130119-54 | 140.32s | put down cloth on counter with right hand so I can clear a bit of a space.
P05-20240424-130119-55 | 141.23s | Pick up basket and put it on top of the breadboard with my left hand, and pick up bread knife with my right hand.
P05-20240424-130119-56 | 142.91s | pick up chopping board with both hands whilst holding the bread knife in my right hand.
P05-20240424-130119-57 | 144.40s | take crumbs off breadboard onto counter because I'm going to clean them up in a minute.
P05-20240424-130119-58 | 145.71s | Put down bread knife on the counter and then put chopping board leaning against other chopping boards at the back of the counter.
P05-20240424-130119-59 | 148.44s | pick up knife with right hand and open knife drawer with left hand
P05-20240424-130119-60 | 149.84s | transfer knife to left hand and then put it in the knife block.
P05-20240424-130119-61 | 152.87s | close drawer with left hand.
P05-20240424-130119-62 | 153.72s | pick up bleachy cloth with right hand.
P05-20240424-130119-63 | 154.67s | Wipe rubbish from the counter into my left hand using the cloth in my right hand.
P05-20240424-130119-64 | 176.46s | wipe rubbish from counter, using the cloth into my left hand.
P05-20240424-130119-65 | 178.11s | Open bin with right hand.
P05-20240424-130119-66 | 179.21s | Put rubbish that was in my left hand into the bin.
P05-20240424-130119-67 | 182.71s | Put down dish cloth with my right hand and then turn on the tap with my right hand because my left hand is dirty.
P05-20240424-130119-68 | 183.31s | Wash hands under the tap.
P05-20240424-130119-69 | 185.90s | turn off the tap with my right hand
P05-20240424-130119-70 | 186.75s | Shake water off hands into the sink.
