# Video: P09-20240623-153748
# Narrations: 135
# Format: narration_id | timestamp | narration
#===========================================================

P09-20240623-153748-1 | 3.87s | using my right hand to tilt the saucepan to remove the water contained within it
P09-20240623-153748-2 | 6.88s | Using my left hand to move water about the saucepan as I rinse it while I hold the saucepan in my right hand.
P09-20240623-153748-3 | 8.89s | rinsing red saucepan under the running tap by using my left hand to swirl the pot around to allow the water reach all around the saucepan while holding the grey saucepan in my right hand.
P09-20240623-153748-4 | 17.74s | reaching for the white mug in sink using my right hand while I drop the fork and tablespoon in the red saucepan using my left hand
P09-20240623-153748-5 | 19.35s | Picking up the white mug from the sink using both my hands while holding a sponge in my right hand.
P09-20240623-153748-6 | 19.79s | holding the white mug in my left hand while I scrub it using the sponge in my right hand.
P09-20240623-153748-7 | 25.25s | Moving the white mug underneath the tap using my left hand while dropping the sponge to the sink's bottom using my right hand.
P09-20240623-153748-8 | 25.64s | Using my right hand to reach for the tap so as to open it while holding the white mug under the tap using my left hand.
P09-20240623-153748-9 | 25.76s | Turning on the tap using my right hand while holding the white mug in my left hand
P09-20240623-153748-10 | 26.42s | Rinsing the white mug under the running tap using both my hands.
P09-20240623-153748-11 | 29.37s | Using my left hand to place the white mug on the draining rack.
P09-20240623-153748-12 | 30.20s | rinsing a fork and knife under the running tap with my right hand while I use my left hand to place the white mug on the draining rack.
P09-20240623-153748-13 | 32.23s | Turning and walking across the room to place the washed spoon and fork in the drawer.
P09-20240623-153748-14 | 34.60s | Opening the drawer using my right hand which also holds a tablespoon and a fork.
P09-20240623-153748-15 | 35.85s | Placing the fork and tablespoon in the drawer using my right hand while holding the drawer in place using my left hand.
P09-20240623-153748-16 | 36.37s | turning and returning to the sink to resume washing.
P09-20240623-153748-17 | 38.24s | Using my right hand to pick up the saucepan from the counter surface so that I can wash it.
P09-20240623-153748-18 | 40.84s | Using my right hand to reach for the sponge in the sink while holding the saucepan in my left hand.
P09-20240623-153748-19 | 41.55s | Using this sponge in my right hand to scrub the saucepan in my left hand.
P09-20240623-153748-20 | 45.80s | transferring the saucepan from my left hand to my right hand so that I can pick up the second saucepan in the sink using my left hand.
P09-20240623-153748-21 | 46.16s | Picking up a second saucepan using my left hand while holding a saucepan and sponge in my right hand.
P09-20240623-153748-22 | 46.84s | draining the water from the saucepan held in my left hand by tilting it over while holding a sponge and a saucepan in my right hand.
P09-20240623-153748-23 | 46.95s | Using my right hand to place a saucepan on the counter surface as I drain the water from the saucepan held in my left hand.
P09-20240623-153748-24 | 49.04s | Using this sponge held in my right hand to scrub the saucepan held in my left hand.
P09-20240623-153748-25 | 60.50s | holding the saucepan in my left hand so that I can inspect it while holding the sponge in my right hand.
P09-20240623-153748-26 | 62.02s | Using the sponge in my right hand to scrub the saucepan held in my left hand.
P09-20240623-153748-27 | 63.89s | Using my right hand to place the sponge on the counter surface while holding the saucepan in my left hand so that I can turn on the tap.
P09-20240623-153748-28 | 64.46s | Using my right hand to turn on the tap so that I can rinse the saucepans.
P09-20240623-153748-29 | 64.73s | Turning on the tap using my right hand while dropping the saucepan into the sink with my left hand.
P09-20240623-153748-30 | 65.55s | Rinsing both my hands under the running tap.
P09-20240623-153748-31 | 66.67s | Using my right hand to reach for the saucepan on the counter surface while using my left hand to reach for the saucepan in the sink.
P09-20240623-153748-32 | 67.56s | Using my right hand to rinse the saucepan under the running tap.
P09-20240623-153748-33 | 70.20s | Using my left hand to pick up the saucepan from the sink.
P09-20240623-153748-34 | 70.60s | Using my left hand to rinse the red saucepan, it holds while holding a second saucepan in my right hand.
P09-20240623-153748-35 | 72.89s | swirling around the water in the red saucepan using my left hand to ensure all soap particles are removed while holding a second saucepan in my right hand.
P09-20240623-153748-36 | 73.60s | Using my left hand to empty the red saucepan's water after rinsing it while holding the saucepan on my right hand.
P09-20240623-153748-37 | 75.68s | stacking both saucepans in my left hand.
P09-20240623-153748-38 | 76.71s | transferring this stack of saucepans from my left hand to my right hand to make it easier to turn off the tap
P09-20240623-153748-39 | 77.31s | turning off the tap using my left hand while holding the stack of saucepans in my right hand.
P09-20240623-153748-40 | 78.13s | Using both my hands to empty the water in the stack of saucepans.
P09-20240623-153748-41 | 79.70s | Using my right hand to place the stack of saucepans in the dish rack.
P09-20240623-153748-42 | 80.50s | Using my left hand to wedge the saucepan cover in the dish rack to ensure items do not topple once the saucepans have been placed.
P09-20240623-153748-43 | 81.62s | turning and walking around the kitchen in search of a hand napkin
P09-20240623-153748-44 | 84.63s | Using my right hand to open the cabinet door so that I can retrieve fresh hand rags.
P09-20240623-153748-45 | 90.55s | Wiping both my hands on the hand rag.
P09-20240623-153748-46 | 93.12s | Using the hand rag in my right hand to clean the counter surface.
P09-20240623-153748-47 | 106.09s | using my right hand to squeeze out excess water and foam from the sponge.
P09-20240623-153748-48 | 107.82s | Turn in and walk in towards the hob so that I can clean it.
P09-20240623-153748-49 | 108.18s | Using this sponge in my right hand to clean the hob.
P09-20240623-153748-50 | 124.62s | Using my right hand to throw the sponge into the sink.
P09-20240623-153748-51 | 128.07s | Using my left hand to lift up the hob pan support so that I can place it back on the hob.
P09-20240623-153748-52 | 149.03s | Using my left hand to place the hob pan support back in place.
P09-20240623-153748-53 | 151.93s | Picking up a hot pan support from the counter surface using my left hand.
P09-20240623-153748-54 | 152.99s | placing the hob pan support back on the hob using my left hand.
P09-20240623-153748-55 | 154.15s | Turning and walking towards the opposite side of the kitchen so that I can inspect the green bowl.
P09-20240623-153748-56 | 155.62s | Picking up the green ball from the counter surface so that I can inspect it.
P09-20240623-153748-57 | 156.33s | inspecting the green bowl in my left hand.
P09-20240623-153748-58 | 159.50s | Using my right hand pick up a washing up liquid bottle from the counter surface while holding the green bowl in my left hand.
P09-20240623-153748-59 | 160.05s | Walking towards the sink with a green ball in hand.
P09-20240623-153748-60 | 160.30s | Using my right hand to press out washing up liquid onto the green bowl held in my left hand.
P09-20240623-153748-61 | 166.36s | Using my left hand to place the... to place the green ball into the sink.
P09-20240623-153748-62 | 168.76s | wiping the countertop using the hand wrap in my right hand.
P09-20240623-153748-63 | 170.63s | Using my left hand to pull out the hand napkin rack so that I can dry the used napkin.
P09-20240623-153748-64 | 172.33s | using both my hands to spread out the napkin
P09-20240623-153748-65 | 174.48s | Using my right hand to place the napkin on the drain rack while holding the drain rack with my left hand.
P09-20240623-153748-66 | 176.05s | properly hanging the napkin on the drying rack using both my hands
P09-20240623-153748-67 | 177.48s | Using my left hand to push the drying rack back in place.
P09-20240623-153748-68 | 179.71s | Picking up the kettle from the counter surface using my left hand.
P09-20240623-153748-69 | 181.40s | walking towards the sink with a kettle in hand so that i can fill it
P09-20240623-153748-71 | 181.97s | opening the kettle using my left hand.
P09-20240623-153748-70 | 183.19s | Transferring the kettle from my left hand to my right hand so that I can open it up with my left one.
P09-20240623-153748-72 | 183.97s | Using my left hand to turn on the tap while using my right hand to place the kettle under the running tap
P09-20240623-153748-73 | 186.23s | Using my right hand to fill the kettle under the running tap while my left hand rests on the top.
P09-20240623-153748-74 | 187.14s | closing the kettle using my right hand while walking towards the counter surface to return the kettle to its charging station
P09-20240623-153748-75 | 189.69s | using my right hand to place the kettle on the charging station
P09-20240623-153748-76 | 190.85s | Turn on the kettle using my left hand while I use my right hand to arrange the counter surface.
P09-20240623-153748-77 | 191.96s | Using both my hands to arrange the counter surface by repositioning the kettles and cafetiere.
P09-20240623-153748-78 | 193.14s | using my right hand to open up the cupboard.
P09-20240623-153748-79 | 204.12s | Using my right hand to rummage through the cupboards contents in search of a tiny wire.
P09-20240623-153748-80 | 205.98s | Using both my hands to rummage through the cupboard.
P09-20240623-153748-81 | 208.73s | Using my right hand to pull out the chocolate machine.
P09-20240623-153748-82 | 209.96s | transferring the rubber from my left hand to my right hand
P09-20240623-153748-83 | 210.89s | Folding the chocolate machine's wires using both my hands.
P09-20240623-153748-84 | 214.54s | untying the tie-in cord on the chocolate machine cables using my right hand.
P09-20240623-153748-85 | 216.88s | unknotting the tying cable from the chocolate machine cables using both my hands
P09-20240623-153748-86 | 219.32s | picking up the rubber from the counter surface using my right hand so that I can place it back in the cabinet
P09-20240623-153748-87 | 220.30s | Opening the drawer using my right hand so I can return the rubber.
P09-20240623-153748-88 | 220.93s | placing the rubber in the drawer using my right hand
P09-20240623-153748-89 | 222.20s | Transferring the tying cable from my left hand to my right hand. So that I can wrap the charging cables.
P09-20240623-153748-91 | 223.98s | Using both my hands to wrap the charging cable.
P09-20240623-153748-90 | 224.32s | Using my right hand to wrap the charging cables.
P09-20240623-153748-92 | 226.63s | Using my right hand to tie the charging cable with the tying cable.
P09-20240623-153748-93 | 233.05s | Using both my hands to tie the tying cable around the chocolate machine's charging cables
P09-20240623-153748-94 | 237.22s | lifting the chocolate machine and its charging dock using both my hands so that I can arrange them on the counter surface
P09-20240623-153748-95 | 237.83s | Arranging the chocolate machine and its charging dock on the counter surface in both my hands.
P09-20240623-153748-96 | 239.63s | holding the fruit basket using but my hands
P09-20240623-153748-97 | 240.37s | Using my right hand to rearrange the ginger in the fruit basket
P09-20240623-153748-98 | 242.62s | Using both my hands to tuck the ginger bag inside the fruit basket.
P09-20240623-153748-99 | 246.45s | using my right hand to open the cabinet so that I can search through its content.
P09-20240623-153748-100 | 254.05s | using my right hand to pick up a bag of tea from the cabinet.
P09-20240623-153748-101 | 254.84s | Using my right hand to place the bag of tea back into position in the cupboard
P09-20240623-153748-102 | 256.42s | Using my left hand to close the cabinet.
P09-20240623-153748-103 | 258.62s | turning and walking towards the draining rack so that I can pick up the mug.
P09-20240623-153748-104 | 262.00s | Using my right hand to select the mug from the draining rack.
P09-20240623-153748-105 | 263.12s | Turning and walking back towards the kettle with the white mug in hand.
P09-20240623-153748-106 | 264.71s | Using my left hand to place the white mug on the counter surface.
P09-20240623-153748-107 | 265.37s | using my right hand to open the cabinet so that i can get some tea
P09-20240623-153748-108 | 266.43s | Using my right hand to pick the teabag out of the cabinet.
P09-20240623-153748-109 | 267.55s | using both my hands to hold and open the bag of tea so that I can pick out the tea bag.
P09-20240623-153748-110 | 267.85s | placing the bag of tea on the counter surface using both my hands while opening the bag of tea using both my hands
P09-20240623-153748-111 | 268.17s | Using my right hand to select a tea bag from the bag of tea using my right hand while I hold the bag using my left hand.
P09-20240623-153748-112 | 271.85s | Using my right hand to place a tea bag in the white mug while holding the bag of tea in my left hand.
P09-20240623-153748-113 | 272.45s | lifting and sealing the bag of tea using both my hands.
P09-20240623-153748-114 | 273.33s | transferring the bag of tea to my right hand to make it easier to store in the cupboard.
P09-20240623-153748-115 | 274.04s | returning the bag of tea to the cabinet using my right hand.
P09-20240623-153748-116 | 275.04s | Using my left hand to close the cupboard.
P09-20240623-153748-117 | 276.17s | placing a jar of sugar on the counter surface using my right hand
P09-20240623-153748-118 | 276.97s | using my right hand to open up the cupboard so that i can retrieve a spoon
P09-20240623-153748-119 | 278.22s | rummaging through the cardboard using my right hand so that I can find the spoon.
P09-20240623-153748-120 | 280.27s | using my right hand to select a teaspoon from the cupboard while closing the cupboard using my right leg
P09-20240623-153748-121 | 282.04s | holding the jar of sugar along with the teaspoon in my right hand while I use my left hand to uncap the jar of sugar
P09-20240623-153748-122 | 283.28s | placing the jar of sugar on the counter surfaces in my right hand while holding the cap of the jar in my left hand.
P09-20240623-153748-123 | 283.66s | Using the teaspoon in my right hand to scoop out sugar from the jar to place in my mug.
P09-20240623-153748-124 | 284.30s | Using my left hand to hold the jar of sugar in place on the counter surface as I scoop out some sugar with the teaspoon in my right hand.
P09-20240623-153748-125 | 284.92s | Using my right hand to move the jar of sugar closer to the mug, while I scoop out some sugar using the teaspoon in my right hand.
P09-20240623-153748-126 | 285.65s | pouring sugar from the teaspoon into the mug using my right hand
P09-20240623-153748-127 | 286.49s | Using the teaspoon in my right hand to scoop up more sugar from the jar.
P09-20240623-153748-128 | 288.01s | using my right hand to pour the sugar from the teaspoon into the mug.
P09-20240623-153748-129 | 288.49s | placing the teaspoon in the mug using my right hand.
P09-20240623-153748-131 | 288.96s | holding the jar using my right hand while i replace the cap using my left hand
P09-20240623-153748-130 | 288.98s | Using my left hand to pick up the jar from the counter surface so that I can seal it and return it.
P09-20240623-153748-132 | 290.57s | Using my left hand to open the drawer so that I can return the sugar.
P09-20240623-153748-133 | 291.32s | Using my right hand to place the jar of sugar in the drawer.
P09-20240623-153748-134 | 291.96s | closing the drawer using both my hands
P09-20240623-153748-135 | 292.46s | closing the drawer using my right hand.
