# Video: P09-20240623-154547
# Narrations: 21
# Format: narration_id | timestamp | narration
#===========================================================

P09-20240623-154547-1 | 1.56s | walking towards the kettle.
P09-20240623-154547-2 | 4.18s | Using my left hand to reach for the kettle handle while using my right hand to reach for the tablespoon placed in the white mug.
P09-20240623-154547-3 | 4.53s | holding the tablespoon in the mug using my right hand while lifting the water kettle using my left hand so that I can pour some water in the mug.
P09-20240623-154547-4 | 5.57s | Pouring some water in the mug from the kettle held in my left hand while my right hand holds a tablespoon in the mug.
P09-20240623-154547-5 | 6.34s | Removing my right hand from the tablespoon as I pour hot water from the kettle held in my left hand so that the steam does not burn my right hand.
P09-20240623-154547-6 | 7.20s | pouring water from the kettle into the mug using my left hand
P09-20240623-154547-7 | 12.21s | Using my right hand to hold the spoon placed in the mug while using my left hand to return the kettle back to its station so that I can stir the cup of coffee.
P09-20240623-154547-8 | 13.58s | Using my right hand to stir the cup of coffee in an anti-clockwise direction using the teaspoon while I use my left hand to return the water kettle back to its charging station.
P09-20240623-154547-9 | 15.14s | Reaching for the mug on the counter surface using my left hand while my right hand continues stirring the cup of coffee.
P09-20240623-154547-11 | 15.47s | lifting the coffee mug from the counter surface using my left hand while I continue stirring it using the tablespoon held in my right hand
P09-20240623-154547-10 | 15.55s | Using my left hand to hold the mug while I use my right hand to stir the coffee in the mug.
P09-20240623-154547-12 | 20.06s | Looking towards the counter surface to check for a tea towel.
P09-20240623-154547-13 | 20.71s | walking towards the retractable tea towel rack so that I can get a tea towel to wipe the counter surface.
P09-20240623-154547-14 | 22.83s | using my left hand to pull out the tea rack so that I can pick the tea towel off it.
P09-20240623-154547-15 | 23.51s | Using my left hand to take the tea towel off the tea towel rack while I hold the mug of tea in my right hand so that I can wipe the counter surface.
P09-20240623-154547-16 | 24.44s | Walking towards the kettle of water so that I can wipe the counter surface in front of it.
P09-20240623-154547-17 | 24.92s | Wiping the counter surface using the tea towel held in my left hand.
P09-20240623-154547-18 | 27.20s | walking back towards the retractable tea towel rack so that I can place the tea towel to dry.
P09-20240623-154547-19 | 27.91s | Using my left hand to place the tea towel back on the rack so that it can dry while holding the mug of tea in my right hand.
P09-20240623-154547-20 | 28.72s | Using my left hand to push the retractable tea towel rack back into position after hanging the used tea towel to dry on the rack.
P09-20240623-154547-21 | 30.35s | Turning about in the kitchen so that I can exit the kitchen.
