# Video: P09-20240625-103827
# Narrations: 26
# Format: narration_id | timestamp | narration
#===========================================================

P09-20240625-103827-1 | 2.65s | Opening the dishwasher with my left hand to unload it.
P09-20240625-103827-2 | 3.88s | Using my right hand to pull out the lower rack of the dishwasher so that I can reach the plates.
P09-20240625-103827-3 | 6.67s | Picking up the plates from the dishwasher using my left hand so that I can put them in the cupboard.
P09-20240625-103827-4 | 15.10s | using both my hands to store away the plates in the cupboard.
P09-20240625-103827-5 | 19.83s | Using my right hand to pick up a frying pan to store in the draining racks.
P09-20240625-103827-6 | 20.42s | Using my right hand to pick up plates while stacking them in my left hand so that I can store them away in the cupboard.
P09-20240625-103827-7 | 35.51s | using my right hand to store plates away in the cupboard.
P09-20240625-103827-8 | 42.98s | Using my right hand to open a drawer while lifting up a utensils rack with my left hand so that I can store the utensils away in the drawer.
P09-20240625-103827-9 | 44.27s | holding a utensil's rack in my left hand and retrieving utensils from it using my right hand so that I can store them in the cupboard.
P09-20240625-103827-10 | 74.50s | retrieving a white chopping board with my left hand so that I can store it away in the cupboard.
P09-20240625-103827-11 | 75.32s | closing the top drawer using my right hand so that i can access the bottom drawer
P09-20240625-103827-12 | 76.41s | Using my right hand to open a bottom storage drawer while holding a white chopping board on my left hand so that I can store the chopping board in the drawer.
P09-20240625-103827-13 | 80.74s | using my left hand to pull the upper rack off the dishwasher so that I can pick out the cups
P09-20240625-103827-14 | 82.27s | Using both my hands to retrieve tumblers from the top rack of the dishwasher so that I can store them away.
P09-20240625-103827-15 | 83.62s | stacking tumblers in my left hand to make storage easier.
P09-20240625-103827-16 | 89.96s | Using my left hand to push wine glasses out of the way to make room for the tumblers in the storage cabinet.
P09-20240625-103827-17 | 91.85s | Using my right hand to flip over a tumbler in the storage cabinet to make stacking easier.
P09-20240625-103827-18 | 93.73s | stacking glass tumblers while storing them away in the cabinet.
P09-20240625-103827-19 | 104.80s | using my left hand to pull out the upper rack of the dishwasher to reach other items stored on it.
P09-20240625-103827-20 | 105.26s | Retrieving a slotted turner and wooden laddle with my left hand while opening the top drawer with my right hand so that I can store them away.
P09-20240625-103827-21 | 113.98s | closing the top drawer with my right hand so that I can access the drawer beneath so as to store the tongs in my left hand
P09-20240625-103827-22 | 116.54s | retrieving more tumblers from the dishwasher rack so that I can store them away
P09-20240625-103827-23 | 125.00s | I am rearranging the cabinet by using my right hand to retrieve a glass tumbler stored behind ceramic mugs.
P09-20240625-103827-24 | 140.87s | Using my left hand to retrieve a ceramic bowl from the top rack of the dishwasher so that I can store it.
P09-20240625-103827-25 | 141.77s | Using my left hand to close the bottom rack of the dishwasher and the dishwasher so that I can make room for working.
P09-20240625-103827-26 | 154.33s | using my left hand to open the oven while holding an oven tray in my right hand so that I can store the oven tray in the oven.
